batch,n_elements,rep,seed,target_round_trips,move_budget,moves,round_trips,censored,notes
A,30,0,20260745,6,60000000,278280,6,False,
A,40,0,20260755,6,60000000,749005,6,False,
A,50,0,20260765,6,60000000,3018180,6,False,
A,60,0,20260775,6,60000000,1534023,6,False,
B,30,0,20260745,25,80000000,1012891,25,False,
B,30,1,20261745,25,80000000,905120,25,False,
B,30,2,20262745,25,80000000,711729,25,False,
B,40,0,20260755,25,80000000,4266409,25,False,
B,40,1,20261755,25,80000000,3073326,25,False,
B,40,2,20262755,25,80000000,3727908,25,False,
B,50,0,20260765,25,80000000,14503393,25,False,
B,50,1,20261765,25,80000000,5605785,25,False,
B,50,2,20262765,25,80000000,78400794,23,True,budget hit during traversal 24
B,60,0,20260775,25,80000000,33802728,25,False,
C,30,0,20260745,15,120000000,595352,15,False,
C,30,1,20261745,15,120000000,479681,15,False,
C,30,2,20262745,15,120000000,394591,15,False,
C,40,0,20260755,15,120000000,1957904,15,False,
C,40,1,20261755,15,120000000,1458567,15,False,
C,40,2,20262755,15,120000000,2323985,15,False,
D,50,0,20260765,15,200000000,9995823,15,False,
D,50,1,20261765,15,200000000,3143769,15,False,
D,50,2,20262765,15,200000000,6475823,15,False,
D,60,0,20260775,15,200000000,17566023,15,False,
D,60,1,20261775,15,200000000,66978893,15,False,
D,60,2,20262775,15,200000000,29207359,15,False,
D,70,0,20260785,15,200000000,90172809,15,False,
D,70,1,20261785,15,200000000,84015284,15,False,
D,70,2,20262785,15,200000000,34578532,15,False,
D,80,0,20260795,15,200000000,197499534,14,True,budget hit during traversal 15
D,80,1,20261795,15,200000000,157785013,15,False,
D,80,2,20262795,15,200000000,197498045,13,True,budget hit during traversal 14
