time,lattice_cumulative_count,sprinkled_cumulative_count,continuum_expected_count
0.0,1.0,1.0,1.0
1.0,3.0,1.0,1.55
2.0,6.0,3.0,3.2
3.0,10.0,7.0,5.95
4.0,15.0,8.0,9.8
5.0,21.0,13.0,14.75
6.0,28.0,20.0,20.8
7.0,36.0,24.0,27.950000000000003
8.0,45.0,32.0,36.2
9.0,55.0,39.0,45.550000000000004
10.0,66.0,51.0,56.0
11.0,78.0,68.0,67.55000000000001
12.0,91.0,79.0,80.2
13.0,105.0,87.0,93.95
14.0,120.0,101.0,108.80000000000001
15.0,136.0,122.0,124.75
16.0,153.0,133.0,141.8
17.0,171.0,145.0,159.95000000000002
18.0,190.0,163.0,179.20000000000002
19.0,210.0,186.0,199.55
20.0,231.0,204.0,221.0
21.0,253.0,228.0,243.55
22.0,276.0,256.0,267.20000000000005
23.0,300.0,284.0,291.95
24.0,325.0,324.0,317.8
25.0,351.0,357.0,344.75000000000006
26.0,378.0,381.0,372.8
27.0,406.0,404.0,401.95000000000005
28.0,435.0,437.0,432.20000000000005
29.0,465.0,466.0,463.55
30.0,496.0,496.0,496.0
