N,tick_count,repetition,loop,beta_composed,beta_direct,beta_composition_error,translation_composition_error_norm
300.0,32.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.24616034595608555,-0.22799999999999998,-0.018160345956085566,0.0024319285493403404
300.0,64.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.24626699010988226,-0.23939999999999995,-0.006866990109882315,0.0007588190948622952
300.0,128.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.24935086530026337,-0.2498499999999999,0.0004991346997365309,0.002656121594971769
300.0,32.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.2559057608959054,-0.2517499999999999,-0.004155760895905469,0.015901526603162384
300.0,64.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.2534433435142264,-0.25554999999999994,0.002106656485773517,0.0020504964613238356
300.0,128.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.25085261080291976,-0.2517499999999999,0.0008973891970801562,0.0008390071886325673
300.0,32.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.23907163908080203,-0.24795,0.00887836091919797,0.007687915473462317
300.0,64.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.24573190086221938,-0.24605,0.0003180991377806086,0.00047530163683573917
300.0,128.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.2546980917302056,-0.2526999999999999,-0.0019980917302056533,0.0008084366050825285
300.0,32.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.24070072914113694,-0.24319999999999997,0.002499270858863034,0.0008870047024534346
300.0,64.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.2607358614731575,-0.24605,-0.014685861473157535,0.002105425124652321
300.0,128.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.2517675914315288,-0.2526999999999999,0.0009324085684710992,0.001359809085709388
300.0,32.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.2622280338506145,-0.25364999999999993,-0.008578033850614564,0.0025402990897244234
300.0,64.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.23667957870893966,-0.24509999999999998,0.008420421291060326,0.0005967760852635986
300.0,128.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.25446645264266027,-0.2498499999999999,-0.0046164526426603625,0.0014740904713475944
600.0,32.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.25932578590185473,-0.2526999999999999,-0.006625785901854808,0.004981398873896058
600.0,64.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.24310321256738532,-0.2498499999999999,0.006746787432614587,0.0005047975292976597
600.0,128.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.2513081968942445,-0.2498499999999999,-0.00145819689424459,0.0004121325734335571
600.0,32.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.24440789192554382,-0.2498499999999999,0.005442108074456081,0.006368929302877815
600.0,64.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.25687969853765186,-0.247,-0.00987969853765186,0.0018047000128378061
600.0,128.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.2513081968942445,-0.2517499999999999,0.0004418031057554228,0.0012834641759193496
600.0,32.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.24386533838441127,-0.24509999999999998,0.001234661615588717,0.0026683892048652053
600.0,64.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.25979477273821616,-0.2507999999999999,-0.00899477273821625,0.0009627390087779289
600.0,128.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.2501023179384838,-0.2507999999999999,0.0006976820615161028,0.0010317021645676674
600.0,32.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.24912358464670115,-0.247,-0.0021235846467011488,0.004271752969320018
600.0,64.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.2414668901765161,-0.2526999999999999,0.011233109823483828,0.0029273664051790173
600.0,128.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.2513081968942445,-0.2526999999999999,0.0013918031057554292,0.001743867118343917
600.0,32.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.2467130036970591,-0.2507999999999999,0.004086996302940821,0.006638849306355882
600.0,64.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.24784442132106047,-0.2489,0.001055578678939545,0.0009220788390171049
600.0,128.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.2495790941474115,-0.2507999999999999,0.0012209058525884109,0.001243154622558174
1200.0,32.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.25595123535413755,-0.24509999999999998,-0.010851235354137567,0.0018477805999111215
1200.0,64.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.26074453519855423,-0.2498499999999999,-0.010894535198554323,0.0017628974627272199
1200.0,128.0,0.0,A_lab->B_moving_pos->C_moving_neg,-0.25153741607243696,-0.2498499999999999,-0.0016874160724370535,0.0012330067955806
1200.0,32.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.24528688559017356,-0.2517499999999999,0.006463114409826359,0.0036918607088618012
1200.0,64.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.2529771819375143,-0.25459999999999994,0.0016228180624856536,0.0010109281667988845
1200.0,128.0,1.0,A_lab->B_moving_pos->C_moving_neg,-0.2481437280148068,-0.2498499999999999,0.001706271985193103,0.0005237242164138942
1200.0,32.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.2566108732015746,-0.2507999999999999,-0.0058108732015746956,0.002445772819321321
1200.0,64.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.24980827525801727,-0.24795,-0.0018582752580172668,0.0009716778357359262
1200.0,128.0,2.0,A_lab->B_moving_pos->C_moving_neg,-0.25418759184572703,-0.2507999999999999,-0.0033875918457271226,0.0005581183695665909
1200.0,32.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.2492006361726998,-0.24795,-0.0012506361726997983,0.003651083165187565
1200.0,64.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.24550893009969568,-0.2489,0.0033910699003043276,0.00039268072793942273
1200.0,128.0,3.0,A_lab->B_moving_pos->C_moving_neg,-0.2503300936392888,-0.2498499999999999,-0.00048009363928891435,0.0005688341576953294
1200.0,32.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.2607642243688897,-0.23939999999999995,-0.02136422436888974,0.0021142445945995843
1200.0,64.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.25228517700301445,-0.2489,-0.003385177003014439,0.0007834155147842729
1200.0,128.0,4.0,A_lab->B_moving_pos->C_moving_neg,-0.2534912307028766,-0.2489,-0.004591230702876592,0.0008829238143424505
