N,tick_count,repetition,source_protocol,target_protocol,source_beta,target_beta,expected_relative_beta,fitted_beta,fitted_beta_error,fitted_translation_t,fitted_translation_x,transition_rmse,accessible_overlap_count,accessible_overlap_fraction,invariant_pair_count,invariant_interval_rmse,invariant_interval_mae,invariant_interval_bias
300.0,32.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2821500000000001,-0.017849999999999866,-0.06652541127854464,0.06759043233133888,0.03610675319590516,97.0,0.3233333333333333,500.0,0.07126648815356278,0.0436104292659127,0.02582058376071496
300.0,32.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.22799999999999998,0.02200000000000002,0.033851974965070045,-0.032532694301137206,0.03399436461178318,107.0,0.3566666666666667,500.0,0.06637969359178278,0.04261890034127712,0.0169105286208892
300.0,32.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.49399999999999994,0.017627906976744268,0.07104190034402505,-0.0747242586196507,0.034570988708995665,69.0,0.23,500.0,0.04907357742115822,0.03128741396606088,0.0003634985322801465
300.0,64.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2983,-0.0016999999999999793,-0.06892783833252354,0.0709050973224114,0.016234688897835872,97.0,0.3233333333333333,500.0,0.027826245679417175,0.017478167156455653,0.007591681849819159
300.0,64.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.23939999999999995,0.010600000000000054,0.032079544955190366,-0.027891431409418237,0.016904665208627042,107.0,0.3566666666666667,500.0,0.03570312092333916,0.02223391588626997,0.00942467584253551
300.0,64.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5073,0.0043279069767442335,0.06956498566466217,-0.0696038487408671,0.013562720299727672,69.0,0.23,500.0,0.018321562738591257,0.011417737543832534,0.0024763580187493533
300.0,128.0,0.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.30115000000000003,0.0011500000000000399,-0.06909761903424112,0.07041520349058229,0.008114196678268694,97.0,0.3233333333333333,500.0,0.013030506257621728,0.008484532316818985,0.0016755933311715112
300.0,128.0,0.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2498499999999999,0.0001500000000000945,0.0304527833673211,-0.03230954407756722,0.007909904805963906,107.0,0.3566666666666667,500.0,0.01344684096758597,0.008839311447777692,-0.00022042572626852967
300.0,128.0,0.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5120499999999999,-0.00042209302325568743,0.06951476760085507,-0.07050737070015486,0.005923942744254581,69.0,0.23,500.0,0.008713785760067129,0.005781338676805955,-0.0006874633367929965
300.0,32.0,1.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.2983,-0.0016999999999999793,-0.07021846169914979,0.07350899789474034,0.03314279143592564,97.0,0.3233333333333333,500.0,0.049605377219614395,0.032758100286717065,0.016930596585656845
300.0,32.0,1.0,A_lab,C_moving_neg,0.0,-0.25,-0.25,-0.2517499999999999,-0.0017499999999999183,0.027982328130770562,-0.041092241112484704,0.03342685220130378,110.0,0.36666666666666664,500.0,0.06074668383223012,0.034721206154885054,0.0003542101238281803
300.0,32.0,1.0,B_moving_pos,C_moving_neg,0.3,-0.25,-0.5116279069767442,-0.5148999999999999,-0.0032720930232557066,0.06909886302346091,-0.06912291667103641,0.026198843861511868,68.0,0.22666666666666666,500.0,0.03333381110339633,0.02082347537539999,-0.004576306274244519
300.0,64.0,1.0,A_lab,B_moving_pos,0.0,0.3,0.3,0.30305000000000004,0.0030500000000000527,-0.0695246863176852,0.0711986676848329,0.014816587864005295,97.0,0.3233333333333333,500.0,0.022364846373115504,0.014330508428658194,0.0025074772836176855
