arm,n,start,chain_seed,sample_index,step,n0,action,acceptance,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
E,900.0,bipartite,850.0,0.0,100000.0,4766.0,1.7337060536435906,0.9856016666666667,c43bdfe,ok,44.0,36.0,0.05125,0.23500000000000001,0.15682147085909748,0.9875
E,900.0,bipartite,850.0,1.0,150000.0,4929.0,1.7300833893461913,0.9856016666666667,c43bdfe,ok,44.0,36.0,0.03875,0.19,0.1549443352979699,1.0
E,900.0,bipartite,850.0,2.0,200000.0,4739.0,2.047504874869393,0.9856016666666667,c43bdfe,ok,44.0,38.0,0.0225,0.31124999999999997,0.15769432773109243,1.0
E,900.0,bipartite,850.0,3.0,250000.0,4808.0,1.9703420206646136,0.9856016666666667,c43bdfe,ok,44.0,37.0,0.05,0.23000000000000004,0.21475195822454307,0.9631201044386424
E,900.0,bipartite,850.0,4.0,300000.0,4969.0,1.683453149427205,0.9856016666666667,c43bdfe,ok,44.0,39.0,0.05,0.24,0.1838506049447659,1.0
E,900.0,bipartite,850.0,5.0,350000.0,4867.0,1.7963247889446734,0.9856016666666667,c43bdfe,ok,44.0,38.0,0.04,0.19874999999999998,0.16767015706806282,1.0
E,900.0,bipartite,850.0,6.0,400000.0,5079.0,1.6457568569231,0.9856016666666667,c43bdfe,ok,44.0,35.0,0.03125,0.265,0.1584950183534347,1.0
E,900.0,bipartite,850.0,7.0,450000.0,4933.0,1.9872301851267196,0.9856016666666667,c43bdfe,ok,44.0,35.0,0.0475,0.235,0.13784954706577393,1.0
E,900.0,bipartite,850.0,8.0,500000.0,4885.0,1.7878472140835235,0.9856016666666667,c43bdfe,ok,44.0,36.0,0.02,0.27625,0.11370491803278689,1.0
E,900.0,bipartite,850.0,9.0,550000.0,4763.0,2.173347446417676,0.9856016666666667,c43bdfe,ok,44.0,38.0,0.0475,0.12874999999999998,0.16741306638566913,0.7874999999999996
