arm,n,start,chain_seed,sample_index,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,G
S,600.0,uniform,900.0,0.0,c43bdfe,ok,44.0,30.0,0.04875,0.255,0.11356757468087907,1.0
S,600.0,uniform,901.0,1.0,c43bdfe,ok,44.0,29.0,0.0475,0.25875000000000004,0.16966749901432515,1.0
S,600.0,uniform,902.0,2.0,c43bdfe,ok,44.0,28.0,0.0275,0.33999999999999997,0.11539976368649074,1.0
S,600.0,uniform,903.0,3.0,c43bdfe,ok,44.0,32.0,0.065,0.25125,0.1699252066657919,0.8500000000000001
S,600.0,uniform,904.0,4.0,c43bdfe,ok,44.0,27.0,0.02625,0.22125,0.13961124244812187,1.0
S,600.0,uniform,905.0,5.0,c43bdfe,ok,44.0,28.0,0.0325,0.21,0.20442350477686166,0.988941238057846
S,600.0,uniform,906.0,6.0,c43bdfe,ok,44.0,28.0,0.04125,0.19374999999999998,0.13732948583420776,1.0
S,600.0,uniform,907.0,7.0,c43bdfe,ok,44.0,27.0,0.04,0.23625,0.16452711553576108,1.0
S,600.0,uniform,908.0,8.0,c43bdfe,ok,44.0,30.0,0.05625,0.16,0.17691803278688525,0.9375
S,600.0,uniform,909.0,9.0,c43bdfe,ok,44.0,28.0,0.04,0.22624999999999998,0.22942643391521197,0.92643391521197
S,600.0,uniform,910.0,10.0,c43bdfe,ok,44.0,27.0,0.0425,0.26625000000000004,0.14869302508866414,1.0
S,600.0,uniform,911.0,11.0,c43bdfe,ok,44.0,30.0,0.02375,0.29625,0.14591541896506435,1.0
S,600.0,uniform,912.0,12.0,c43bdfe,ok,44.0,27.0,0.0475,0.14500000000000002,0.13832587523032377,0.9500000000000002
S,600.0,uniform,913.0,13.0,c43bdfe,ok,44.0,27.0,0.03375,0.25625,0.17165853014909618,1.0
S,600.0,uniform,914.0,14.0,c43bdfe,ok,44.0,27.0,0.0575,0.19125,0.12245166381691437,0.925
S,600.0,uniform,915.0,15.0,c43bdfe,ok,44.0,26.0,0.0225,0.18625,0.1546216286986122,1.0
S,600.0,uniform,916.0,16.0,c43bdfe,ok,44.0,30.0,0.03625,0.20875,0.14886348705820523,1.0
S,600.0,uniform,917.0,17.0,c43bdfe,ok,44.0,30.0,0.03375,0.18625,0.17354608993801926,1.0
S,600.0,uniform,918.0,18.0,c43bdfe,ok,44.0,30.0,0.03375,0.21375,0.12803358257903713,1.0
S,600.0,uniform,919.0,19.0,c43bdfe,ok,44.0,27.0,0.02375,0.17625000000000002,0.09515072083879424,1.0
S,900.0,uniform,920.0,0.0,c43bdfe,ok,44.0,37.0,0.0275,0.21125,0.14340168243953733,1.0
S,900.0,uniform,921.0,1.0,c43bdfe,ok,44.0,38.0,0.035,0.21,0.14182629231172922,1.0
S,900.0,uniform,922.0,2.0,c43bdfe,ok,44.0,38.0,0.01875,0.24625000000000002,0.1323529411764706,1.0
S,900.0,uniform,923.0,3.0,c43bdfe,ok,44.0,37.0,0.03875,0.255,0.20321064996084573,0.9919733750978856
S,900.0,uniform,924.0,4.0,c43bdfe,ok,44.0,37.0,0.0375,0.20124999999999998,0.17573606729758148,1.0
S,900.0,uniform,925.0,5.0,c43bdfe,ok,44.0,36.0,0.04,0.185,0.13907546424338207,1.0
S,900.0,uniform,926.0,6.0,c43bdfe,ok,44.0,36.0,0.04875,0.23125,0.15543564095814688,1.0
S,900.0,uniform,927.0,7.0,c43bdfe,ok,44.0,37.0,0.0275,0.25749999999999995,0.1650764605933865,1.0
S,900.0,uniform,928.0,8.0,c43bdfe,ok,44.0,37.0,0.05,0.23875000000000002,0.1961992136304063,1.0
S,900.0,uniform,929.0,9.0,c43bdfe,ok,44.0,37.0,0.06,0.23625000000000002,0.15682147085909748,0.9000000000000001
S,900.0,uniform,930.0,10.0,c43bdfe,ok,44.0,37.0,0.04625,0.10124999999999999,0.1694198493458438,0.5124999999999998
S,900.0,uniform,931.0,11.0,c43bdfe,ok,44.0,35.0,0.02,0.23750000000000002,0.1225721784776903,1.0
S,900.0,uniform,932.0,12.0,c43bdfe,ok,44.0,38.0,0.04375,0.21875,0.18745087765260676,1.0
S,900.0,uniform,933.0,13.0,c43bdfe,ok,44.0,37.0,0.025,0.2325,0.16031932993063736,1.0
S,900.0,uniform,934.0,14.0,c43bdfe,ok,44.0,37.0,0.04875,0.26125,0.13545502367175172,1.0
S,900.0,uniform,935.0,15.0,c43bdfe,ok,44.0,37.0,0.045,0.1975,0.12355567226890757,1.0
S,900.0,uniform,936.0,16.0,c43bdfe,ok,44.0,35.0,0.02125,0.20625000000000002,0.142913179916318,1.0
S,900.0,uniform,937.0,17.0,c43bdfe,ok,44.0,38.0,0.025,0.30374999999999996,0.14856692085195897,1.0
S,900.0,uniform,938.0,18.0,c43bdfe,ok,44.0,36.0,0.0275,0.23374999999999999,0.19979010888101797,1.0
S,900.0,uniform,939.0,19.0,c43bdfe,ok,44.0,36.0,0.04125,0.15625,0.13285055957867017,1.0
S,1200.0,uniform,940.0,0.0,c43bdfe,ok,44.0,44.0,0.01875,0.27625,0.13382410937294598,1.0
S,1200.0,uniform,941.0,1.0,c43bdfe,ok,44.0,46.0,0.05875,0.23750000000000002,0.1896551724137931,0.9125000000000001
S,1200.0,uniform,942.0,2.0,c43bdfe,ok,44.0,44.0,0.035,0.1575,0.1747265779417578,1.0
S,1200.0,uniform,943.0,3.0,c43bdfe,ok,44.0,48.0,0.04,0.21374999999999997,0.182559515980534,1.0
S,1200.0,uniform,944.0,4.0,c43bdfe,ok,44.0,42.0,0.03125,0.27875,0.12865190619677716,1.0
S,1200.0,uniform,945.0,5.0,c43bdfe,ok,44.0,44.0,0.0325,0.20375,0.1590133823143532,1.0
S,1200.0,uniform,946.0,6.0,c43bdfe,ok,44.0,44.0,0.05,0.19,0.17587152369761067,1.0
S,1200.0,uniform,947.0,7.0,c43bdfe,ok,44.0,46.0,0.04375,0.2625,0.14586053799947768,1.0
S,1200.0,uniform,948.0,8.0,c43bdfe,ok,44.0,45.0,0.05375,0.22625000000000003,0.16289473684210526,0.9625
S,1200.0,uniform,949.0,9.0,c43bdfe,ok,44.0,46.0,0.04,0.19,0.2192429022082019,0.9518927444794953
S,1200.0,uniform,950.0,10.0,c43bdfe,ok,44.0,44.0,0.02625,0.22999999999999998,0.14795851385059736,1.0
S,1200.0,uniform,951.0,11.0,c43bdfe,ok,44.0,45.0,0.06625,0.26375000000000004,0.1500327868852459,0.8375
S,1200.0,uniform,952.0,12.0,c43bdfe,ok,44.0,44.0,0.02625,0.23875000000000002,0.15971128608923885,1.0
S,1200.0,uniform,953.0,13.0,c43bdfe,ok,44.0,42.0,0.025,0.21625,0.19884347483243528,1.0
S,1200.0,uniform,954.0,14.0,c43bdfe,ok,44.0,48.0,0.04375,0.245,0.19336654431043523,1.0
S,1200.0,uniform,955.0,15.0,c43bdfe,ok,44.0,45.0,0.05875,0.17875,0.17721850832350242,0.9125000000000001
S,1200.0,uniform,956.0,16.0,c43bdfe,ok,44.0,43.0,0.035,0.27125,0.15098783200314012,1.0
S,1200.0,uniform,957.0,17.0,c43bdfe,ok,44.0,45.0,0.045,0.18625000000000003,0.15397742189551064,1.0
S,1200.0,uniform,958.0,18.0,c43bdfe,ok,44.0,45.0,0.0475,0.2625,0.1387427669647554,1.0
S,1200.0,uniform,959.0,19.0,c43bdfe,ok,44.0,46.0,0.0575,0.18625,0.22514120583212927,0.925
