arm,n,start,chain_seed,sample_index,code_version,const_chain_count,const_min_chain_len,const_max_targets,const_min_targets,const_train_c,const_heldout_c,status,n_targets,min_chain_len,heldout,null_gap,truth,G
S-scaled,600.0,uniform,1100.0,0.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,28.0,0.04375,0.14375,0.10990021008403361,0.9374999999999998
S-scaled,600.0,uniform,1101.0,1.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.0375,0.16125,0.16075431887115918,1.0
S-scaled,600.0,uniform,1102.0,2.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,28.0,0.0475,0.19874999999999998,0.13762193514368573,1.0
S-scaled,600.0,uniform,1103.0,3.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,26.0,0.04,0.19,0.11131434544029266,1.0
S-scaled,600.0,uniform,1104.0,4.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,28.0,0.08375,0.13874999999999998,0.2205805439330544,0.6625
S-scaled,600.0,uniform,1105.0,5.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.03375,0.2075,0.17232307287555906,1.0
S-scaled,600.0,uniform,1106.0,6.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,26.0,0.0625,0.18,0.1228646517739816,0.875
S-scaled,600.0,uniform,1107.0,7.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,29.0,0.03125,0.2525,0.15160655737704917,1.0
S-scaled,600.0,uniform,1108.0,8.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,28.0,0.02625,0.23625000000000002,0.15896220202818384,1.0
S-scaled,600.0,uniform,1109.0,9.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.0325,0.25749999999999995,0.11201256215650353,1.0
S-scaled,600.0,uniform,1110.0,10.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,28.0,0.05875,0.2825,0.15640183847669073,0.9125000000000001
S-scaled,600.0,uniform,1111.0,11.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,29.0,0.03,0.27249999999999996,0.12929106931474418,1.0
S-scaled,600.0,uniform,1112.0,12.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.03375,0.2425,0.181853939950177,1.0
S-scaled,600.0,uniform,1113.0,13.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.035,0.25875000000000004,0.21623043535446534,0.9594239116138367
S-scaled,600.0,uniform,1114.0,14.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,26.0,0.0375,0.22,0.19464496653104083,1.0
S-scaled,600.0,uniform,1115.0,15.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,28.0,0.035,0.20625,0.11967945349448239,1.0
S-scaled,600.0,uniform,1116.0,16.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,30.0,0.04375,0.1925,0.17927134026042352,1.0
S-scaled,600.0,uniform,1117.0,17.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.04375,0.20375,0.17945007235890015,1.0
S-scaled,600.0,uniform,1118.0,18.0,0ec729f,6.0,25.0,44.0,20.0,3000.0,800.0,ok,44.0,27.0,0.06375,0.13625,0.1930634313596202,0.8625
