arm,n,start,chain_seed,sample_index,code_version,status,n_targets,min_chain_len,heldout,null_gap,truth,truth_restricted,n_eligible,eligible_floor_met
S-frozen-dual,600.0,uniform,40000.0,0.0,6595d34,ok,44.0,29.0,0.0325,0.22624999999999998,0.1501903636602337,0.06311805062692216,21135.0,True
S-frozen-dual,600.0,uniform,40001.0,1.0,6595d34,ok,44.0,29.0,0.04375,0.15750000000000003,0.14544262295081967,0.050347047580726285,19882.0,True
S-frozen-dual,600.0,uniform,40002.0,2.0,6595d34,ok,44.0,29.0,0.03,0.265,0.20943643512450852,0.12959579303890548,22439.0,True
S-frozen-dual,600.0,uniform,40003.0,3.0,6595d34,ok,44.0,29.0,0.0375,0.13,0.14583333333333334,0.06927030792141038,20817.0,True
S-frozen-dual,600.0,uniform,40004.0,4.0,6595d34,ok,44.0,28.0,0.04625,0.22125,0.13673415724428084,0.021231073074391045,18228.0,True
S-frozen-dual,600.0,uniform,40005.0,5.0,6595d34,ok,44.0,28.0,0.03375,0.23625000000000002,0.1552901023890785,0.05374375216509131,20207.0,True
S-frozen-dual,600.0,uniform,40006.0,6.0,6595d34,ok,44.0,29.0,0.04,0.23,0.16625212724178556,0.09190104411626376,21262.0,True
S-frozen-dual,600.0,uniform,40007.0,7.0,6595d34,ok,44.0,26.0,0.025,0.18375,0.14885796797059594,0.03684441037994087,18266.0,True
S-frozen-dual,600.0,uniform,40008.0,8.0,6595d34,ok,44.0,27.0,0.055,0.17125,0.24862313139260425,0.16970560770629578,20347.0,True
S-frozen-dual,600.0,uniform,40009.0,9.0,6595d34,ok,44.0,28.0,0.02625,0.305,0.11348727368144844,0.007973266107756347,17057.0,True
S-frozen-dual,600.0,uniform,40010.0,10.0,6595d34,ok,44.0,29.0,0.0225,0.23124999999999998,0.11195495613460783,0.020278707357274862,20021.0,True
S-frozen-dual,600.0,uniform,40011.0,11.0,6595d34,ok,44.0,28.0,0.02375,0.20125,0.1465018411362441,0.04764392435482186,19142.0,True
S-frozen-dual,600.0,uniform,40012.0,12.0,6595d34,ok,44.0,28.0,0.02375,0.245,0.134070854734624,0.022097643280901323,18373.0,True
S-frozen-dual,600.0,uniform,40013.0,13.0,6595d34,ok,44.0,26.0,0.01875,0.2175,0.12791612057667104,0.05721518987341772,19750.0,True
S-frozen-dual,600.0,uniform,40014.0,14.0,6595d34,ok,44.0,28.0,0.04125,0.22125,0.18960324734843526,0.09807791719535693,21279.0,True
S-frozen-dual,600.0,uniform,40015.0,15.0,6595d34,ok,44.0,29.0,0.0375,0.31,0.11526847840357096,0.015122773738012435,18978.0,True
S-frozen-dual,600.0,uniform,40016.0,16.0,6595d34,ok,44.0,25.0,0.06125,0.26125,0.20681937862032648,0.11493593421304264,20916.0,True
S-frozen-dual,600.0,uniform,40017.0,17.0,6595d34,ok,44.0,28.0,0.06625,0.17124999999999999,0.17865094957432875,0.08820221972326799,20453.0,True
S-frozen-dual,600.0,uniform,40018.0,18.0,6595d34,ok,44.0,28.0,0.03875,0.18375,0.1180107880542034,0.023924649944595547,19854.0,True
S-frozen-dual,600.0,uniform,40019.0,19.0,6595d34,ok,44.0,26.0,0.03625,0.21749999999999997,0.12718663685387346,0.045685509481898194,22042.0,True
S-frozen-dual,900.0,uniform,40020.0,0.0,6595d34,ok,44.0,34.0,0.02125,0.30375,0.13662486938349008,0.03967865190555501,20414.0,True
S-frozen-dual,900.0,uniform,40021.0,1.0,6595d34,ok,44.0,35.0,0.03625,0.26,0.12587045066351332,0.028785261945883708,20844.0,True
S-frozen-dual,900.0,uniform,40022.0,2.0,6595d34,ok,44.0,37.0,0.0375,0.24749999999999997,0.10368723849372385,0.005112764869624496,17603.0,True
S-frozen-dual,900.0,uniform,40023.0,3.0,6595d34,ok,44.0,36.0,0.04375,0.22499999999999998,0.20686043466876144,0.12959647431483268,21783.0,True
S-frozen-dual,900.0,uniform,40024.0,4.0,6595d34,ok,44.0,40.0,0.05625,0.13875,0.1545957334737951,0.060499224368918345,21273.0,True
S-frozen-dual,900.0,uniform,40025.0,5.0,6595d34,ok,44.0,37.0,0.035,0.24375,0.13683655998946398,0.047880690737833596,20384.0,True
S-frozen-dual,900.0,uniform,40026.0,6.0,6595d34,ok,44.0,39.0,0.02375,0.25375000000000003,0.1284850078905839,0.032390669109999506,20191.0,True
S-frozen-dual,900.0,uniform,40027.0,7.0,6595d34,ok,44.0,39.0,0.0375,0.23124999999999998,0.12140616832200732,0.026582217743870255,20841.0,True
S-frozen-dual,900.0,uniform,40028.0,8.0,6595d34,ok,44.0,36.0,0.0175,0.22125,0.13572933122696157,0.04606042654028436,20256.0,True
S-frozen-dual,900.0,uniform,40029.0,9.0,6595d34,ok,44.0,37.0,0.0375,0.20249999999999999,0.11050963823607077,0.023202411137157347,20903.0,True
S-frozen-dual,900.0,uniform,40030.0,10.0,6595d34,ok,44.0,37.0,0.055,0.18125,0.18008418837148119,0.11267991775188485,21885.0,True
S-frozen-dual,900.0,uniform,40031.0,11.0,6595d34,ok,44.0,38.0,0.0475,0.16875,0.09894736842105263,0.010519327988561507,19583.0,True
S-frozen-dual,900.0,uniform,40032.0,12.0,6595d34,ok,44.0,40.0,0.035,0.2075,0.11146079202727512,0.01907782616928612,21124.0,True
S-frozen-dual,900.0,uniform,40033.0,13.0,6595d34,ok,44.0,38.0,0.07125,0.16499999999999998,0.1705487564153178,0.08147137682863728,21259.0,True
S-frozen-dual,900.0,uniform,40034.0,14.0,6595d34,ok,44.0,38.0,0.02875,0.195,0.1391772900512551,0.04530338811508988,20749.0,True
S-frozen-dual,900.0,uniform,40035.0,15.0,6595d34,ok,44.0,37.0,0.02,0.25,0.14098188500918876,0.049265842349304485,20704.0,True
S-frozen-dual,900.0,uniform,40036.0,16.0,6595d34,ok,44.0,37.0,0.02,0.24750000000000003,0.21964708980774295,0.14668353896446273,18966.0,True
S-frozen-dual,900.0,uniform,40037.0,17.0,6595d34,ok,44.0,37.0,0.03125,0.235,0.12009450059062869,0.03913343599001752,18833.0,True
S-frozen-dual,900.0,uniform,40038.0,18.0,6595d34,ok,44.0,37.0,0.02625,0.20500000000000002,0.24904667981591058,0.17152864910079466,19128.0,True
S-frozen-dual,900.0,uniform,40039.0,19.0,6595d34,ok,44.0,36.0,0.0625,0.22875,0.1560655737704918,0.07393014110571362,21615.0,True
S-frozen-dual,1200.0,uniform,40040.0,0.0,6595d34,ok,44.0,46.0,0.04,0.24875,0.18286763741309195,0.09689169499757164,20590.0,True
S-frozen-dual,1200.0,uniform,40041.0,1.0,6595d34,ok,44.0,46.0,0.04125,0.2575,0.1573903911787871,0.08662382683689862,23654.0,True
S-frozen-dual,1200.0,uniform,40042.0,2.0,6595d34,ok,44.0,43.0,0.02125,0.22,0.17058823529411765,0.09333596994265375,20228.0,True
S-frozen-dual,1200.0,uniform,40043.0,3.0,6595d34,ok,44.0,46.0,0.0175,0.33875,0.1648768988999476,0.08526470448836437,21099.0,True
S-frozen-dual,1200.0,uniform,40044.0,4.0,6595d34,ok,44.0,46.0,0.0675,0.19124999999999998,0.17719690003940627,0.08946851773944749,21393.0,True
S-frozen-dual,1200.0,uniform,40045.0,5.0,6595d34,ok,44.0,46.0,0.04625,0.22749999999999998,0.17820091923834538,0.0934331469724249,21106.0,True
S-frozen-dual,1200.0,uniform,40046.0,6.0,6595d34,ok,44.0,47.0,0.03125,0.3025,0.16344142259414227,0.0882864731202491,21838.0,True
S-frozen-dual,1200.0,uniform,40047.0,7.0,6595d34,ok,44.0,45.0,0.04375,0.1875,0.1347360167276529,0.04629715882626921,21470.0,True
S-frozen-dual,1200.0,uniform,40048.0,8.0,6595d34,ok,44.0,46.0,0.045,0.19624999999999998,0.13138207113794462,0.02021416083916084,18304.0,True
S-frozen-dual,1200.0,uniform,40049.0,9.0,6595d34,ok,44.0,44.0,0.04125,0.2575,0.14950339780449556,0.0524764435854071,20695.0,True
S-frozen-dual,1200.0,uniform,40050.0,10.0,6595d34,ok,44.0,44.0,0.07375,0.19375000000000003,0.20168067226890757,0.1204169164783471,21683.0,True
S-frozen-dual,1200.0,uniform,40051.0,11.0,6595d34,ok,44.0,45.0,0.0425,0.24625,0.24209150326797385,0.17952883834281072,22158.0,True
S-frozen-dual,1200.0,uniform,40052.0,12.0,6595d34,ok,44.0,44.0,0.03375,0.205,0.15586621374444734,0.06968003084040092,20752.0,True
S-frozen-dual,1200.0,uniform,40053.0,13.0,6595d34,ok,44.0,42.0,0.0425,0.17875,0.16249180327868853,0.08333719153664522,21599.0,True
S-frozen-dual,1200.0,uniform,40054.0,14.0,6595d34,ok,44.0,45.0,0.0625,0.15125,0.2465825446898002,0.16895982388552558,21804.0,True
S-frozen-dual,1200.0,uniform,40055.0,15.0,6595d34,ok,44.0,45.0,0.0575,0.1925,0.22331756046267087,0.14776459854014598,21920.0,True
S-frozen-dual,1200.0,uniform,40056.0,16.0,6595d34,ok,44.0,44.0,0.04875,0.24,0.16994492525570418,0.08899660688317984,20630.0,True
S-frozen-dual,1200.0,uniform,40057.0,17.0,6595d34,ok,44.0,47.0,0.05,0.29625,0.23268879017507185,0.14120415767797606,20396.0,True
S-frozen-dual,1200.0,uniform,40058.0,18.0,6595d34,ok,44.0,43.0,0.03125,0.22749999999999998,0.1416404612159329,0.04375651138562286,20157.0,True
S-frozen-dual,1200.0,uniform,40059.0,19.0,6595d34,ok,44.0,43.0,0.02,0.21625,0.18426203836617513,0.09935536221430825,22183.0,True
