n,sample_index,chain_seed,score_seed,code_version,status,truth,restricted,eligible,eligible_floor_met,mix_matched
600.0,0.0,43000.0,43150.0,ce27fce,ok,0.09749705150045866,0.001634397787276842,15908.0,True,0.0007577523898344603
600.0,1.0,43200.0,43350.0,ce27fce,ok,0.16524701873935263,0.0790042792067363,21733.0,True,0.06800369016551837
600.0,2.0,43400.0,43550.0,ce27fce,ok,0.1268862354021782,0.013120687705010745,17682.0,True,0.007249642499336376
600.0,3.0,43600.0,43750.0,ce27fce,ok,0.11653151974888831,0.01914326063078613,19119.0,True,0.012150339598222445
600.0,4.0,43800.0,43950.0,ce27fce,ok,0.1315512246510403,0.016355425363114854,16386.0,True,0.008187332399160736
600.0,5.0,44000.0,44150.0,ce27fce,ok,0.11886916502301118,0.033979829325058185,19335.0,True,0.021943993962349556
600.0,6.0,44200.0,44350.0,ce27fce,ok,0.22163727296657015,0.15547411818598258,21830.0,True,0.1387182908889527
600.0,7.0,44400.0,44550.0,ce27fce,ok,0.14347540983606558,0.05640467515260493,21133.0,True,0.0444193522795812
600.0,8.0,44600.0,44750.0,ce27fce,ok,0.17487555671993713,0.08702578910684058,20086.0,True,0.06895028063777091
600.0,9.0,44800.0,44950.0,ce27fce,ok,0.1395685345961589,0.05850142743482941,21367.0,True,0.04740456709683646
600.0,10.0,45000.0,45150.0,ce27fce,ok,0.17439264609323704,0.07545822423232564,21005.0,True,0.05981434890900439
600.0,11.0,45200.0,45350.0,ce27fce,ok,0.18657401337354138,0.08701247277766778,20204.0,True,0.06344970660568261
600.0,12.0,45400.0,45550.0,ce27fce,ok,0.1509855453350854,0.08023372432738848,22933.0,True,0.07944814266956324
600.0,13.0,45600.0,45750.0,ce27fce,ok,0.1939417781274587,0.1266891891891892,22496.0,True,0.1174719381950437
600.0,14.0,45800.0,45950.0,ce27fce,ok,0.14709355727594803,0.04215456674473068,18788.0,True,0.026324059862129285
600.0,15.0,46000.0,46150.0,ce27fce,ok,0.13111081828962973,0.03511006930289441,19624.0,True,0.023597110238873273
600.0,16.0,46200.0,46350.0,ce27fce,ok,0.1451464600026271,0.0556148694554984,20606.0,True,0.04197734904797482
600.0,17.0,46400.0,46550.0,ce27fce,ok,0.13639926835641494,0.05446037435284747,20088.0,True,0.04013414050568324
600.0,18.0,46600.0,46750.0,ce27fce,ok,0.1555613850996852,0.06435803532959931,18568.0,True,0.04538311948565486
600.0,19.0,46800.0,46950.0,ce27fce,ok,0.22496067121132668,0.15590507726269315,21744.0,True,0.13952352960388778
900.0,0.0,47000.0,47150.0,ce27fce,ok,0.13587526205450734,0.03801381442303048,20703.0,True,0.028132214882824136
900.0,1.0,47200.0,47350.0,ce27fce-dirty,ok,0.10782768584187023,0.030189068054196074,19411.0,True,0.02004908756667297
900.0,2.0,47400.0,47550.0,ce27fce-dirty,ok,0.19812813076720273,0.13204893826466038,21333.0,True,0.11298607728952337
