n,seed,pool_size,rejections,complete,y,y_vol,median_relerr_chain,mean_m_conditioned,min_m_open,stage,code_version
600.0,288000.0,10417.0,8.0,True,-0.5594220774268054,-1.6161414205633877,0.27578962389540607,22.707915273132667,20.0,A,99e7889
600.0,288200.0,10208.0,6.0,True,-0.5328249496560395,-1.4232466554120167,0.2932074833559286,22.02201783723523,14.0,A,99e7889
600.0,288400.0,10443.0,4.0,True,-0.6277153188638465,-1.2490241126243409,0.23565935307578612,25.71711259754738,17.0,A,99e7889
600.0,288600.0,10220.0,5.0,True,-0.7150030817114674,-1.3060050141659094,0.1927511235709869,22.320791527313265,20.0,A,99e7889
600.0,288800.0,10137.0,6.0,True,-0.7512583783432595,-1.254062717635613,0.17731342618592844,23.116220735785948,17.0,A,99e7889
600.0,289000.0,10036.0,8.0,True,-0.4885431635908102,-1.1794035701164458,0.3246809712234936,24.416109253065773,18.0,A,99e7889
600.0,289200.0,10338.0,9.0,True,-0.7070549624341467,-0.9786519300756135,0.19631118181603616,23.879319955406913,21.0,A,99e7889
600.0,289400.0,10331.0,10.0,True,-0.6089550740383256,-1.6573835976406506,0.24606221321295696,23.522575250836116,13.0,A,99e7889
600.0,289600.0,10266.0,12.0,True,-0.5632039666481943,-1.2566377512290632,0.27339844074219555,23.875696767001116,24.0,A,99e7889
600.0,289800.0,10225.0,17.0,True,-0.7206247703281681,-1.7310621571392344,0.19027215180031926,23.124860646599775,19.0,A,99e7889
600.0,290000.0,10242.0,19.0,True,-0.4357977399040144,-1.464441085700036,0.36660827209717095,23.91276477146042,14.0,A,99e7889
600.0,290200.0,10320.0,1.0,True,-0.7058330329066144,-1.1721337573194481,0.19686430007323635,21.272575250836123,17.0,A,99e7889
1200.0,304000.0,41237.0,13.0,True,-0.7050635329258508,-1.5328095024924628,0.1972134211560586,50.021146355036166,39.0,A,99e7889
1200.0,304200.0,41109.0,11.0,True,-0.7832987834159365,-1.6857572062017816,0.16470288882127598,45.184474123539225,41.0,A,99e7889
1200.0,304400.0,40687.0,5.0,True,-0.575588002476721,-1.625096540478309,0.2657125073266969,46.418892598775734,40.0,A,99e7889
1200.0,304600.0,41047.0,13.0,True,-0.60152312909739,-1.6941163307385865,0.2503092338358433,45.180996104618806,34.0,A,99e7889
1200.0,304800.0,41403.0,4.0,True,-0.6689581955701922,-1.3998251553031789,0.21430968819620003,48.0822203672788,29.0,A,99e7889
1200.0,305000.0,41021.0,17.0,True,-0.5381930007614691,-1.4352059298801767,0.28960562923101457,47.55662214802448,41.0,A,99e7889
1200.0,305200.0,41128.0,7.0,True,-0.6983108742129831,-1.7413338897786024,0.2003037710980027,45.51001669449082,34.0,A,99e7889
1200.0,305400.0,41401.0,4.0,True,-0.5215630762475656,-1.711055036111503,0.3009102099877592,52.48539232053423,41.0,A,99e7889
1200.0,305600.0,41212.0,2.0,True,-0.5997835298106791,-1.409096199305441,0.2513138770855006,47.032554257095164,38.0,A,99e7889
1200.0,305800.0,41260.0,8.0,True,-0.6606837971025946,-1.3754336083310628,0.21843197014182386,49.84279354479688,41.0,A,99e7889
1200.0,306000.0,41313.0,15.0,True,-0.7047064007472154,-1.3474850003601209,0.19737566182086125,46.89176405119644,36.0,A,99e7889
1200.0,306200.0,41427.0,16.0,True,-0.5885981051778526,-1.4316441006810303,0.2578706380409496,46.99457429048414,35.0,A,99e7889
2400.0,320000.0,164734.0,10.0,True,-0.8647543165894295,-1.5545244898548902,0.1365355309156225,101.6153044203503,90.0,A,99e7889
2400.0,320200.0,162604.0,4.0,True,-0.8636815188858165,-1.615278415776616,0.13687321898456573,99.83256880733946,88.0,A,99e7889
2400.0,320400.0,162478.0,40.0,True,-0.8480324984252853,-1.6398504315377103,0.14189513370348375,106.40916041145398,93.0,A,99e7889
2400.0,320600.0,164905.0,7.0,True,-0.6707310230549943,-1.4982396137112466,0.2134366407283839,98.95405893800388,74.0,A,99e7889
2400.0,320800.0,162325.0,4.0,True,-0.7066392728327964,-1.6313618147794053,0.19649917311478063,98.18251320544898,72.0,A,99e7889
2400.0,321000.0,164663.0,12.0,True,-0.7598134019921177,-1.6045881801213373,0.1738547648842278,97.49068668334723,75.0,A,99e7889
2400.0,321200.0,163088.0,9.0,True,-0.6138109372294965,-1.403176509111875,0.24332630585291937,93.35724214623298,65.0,A,99e7889
2400.0,321400.0,164439.0,4.0,True,-0.9045033113586557,-1.3890511274343562,0.12459387373440314,98.01633305532387,66.0,A,99e7889
2400.0,321600.0,164148.0,5.0,True,-1.1007740939679622,-1.5706634554341585,0.07929136714369711,96.40179316096747,72.0,A,99e7889
2400.0,321800.0,162552.0,6.0,True,-0.6961677556704743,-1.547536181780375,0.20129465553711393,94.65770086182931,78.0,A,99e7889
2400.0,322000.0,163679.0,17.0,True,-0.988372872681082,-1.5684114387889212,0.10271340518559327,103.6011259382819,88.0,A,99e7889
2400.0,322200.0,162075.0,9.0,True,-0.6455038024037569,-1.7639120859549975,0.22620187348986234,87.90102863497357,76.0,A,99e7889
