n,seed,pool_size,rejections,complete,box_order_certified,y,y_vol,median_relerr_chain,mean_m_conditioned,min_m_open,stage,code_version
600.0,424000.0,10257.0,8.0,True,True,-0.4474267959619891,-1.512485636359645,0.35692190644402433,25.285953177257525,18.0,B,994bca5
600.0,424200.0,10501.0,6.0,True,True,-0.5241245191006844,-1.3052848324448825,0.29914068299634455,24.93255295429209,18.0,B,994bca5
600.0,424400.0,10266.0,13.0,True,True,-0.5564748007662189,-0.9831733479851575,0.2776675953555619,24.794314381270905,19.0,B,994bca5
600.0,424600.0,10091.0,6.0,True,True,-0.5932288819806805,-1.3970761323111909,0.2551356331860861,21.120680044593087,20.0,B,994bca5
600.0,424800.0,10375.0,5.0,True,True,-0.5078584036815642,-1.5245015825177857,0.3105571956224813,23.64186176142698,14.0,B,994bca5
600.0,425000.0,10479.0,10.0,True,True,-0.46929896422074546,-1.460474777010323,0.33939155821210487,25.16722408026756,15.0,B,994bca5
600.0,425200.0,9991.0,4.0,True,True,-0.5775731009466,-1.7362867292525053,0.26450074465577944,24.484113712374583,20.0,B,994bca5
600.0,425400.0,9995.0,4.0,True,True,-0.5824753755383267,-1.5003929649795174,0.2615318732292745,23.68589743589744,19.0,B,994bca5
600.0,425600.0,10284.0,8.0,True,True,-0.5115265017888716,-1.284314806627158,0.3079452419501603,22.355908584169455,18.0,B,994bca5
600.0,425800.0,10164.0,7.0,True,True,-0.5879157991925584,-1.3516564471149133,0.258276088654706,23.433110367892976,19.0,B,994bca5
600.0,426000.0,10292.0,8.0,True,True,-0.7772473213290164,-1.102882467224009,0.1670139235213074,24.854515050167223,19.0,B,994bca5
600.0,426200.0,9984.0,12.0,True,True,-0.583505778525396,-0.9653298365860784,0.2609121007002462,22.011148272017834,17.0,B,994bca5
1200.0,440000.0,41081.0,11.0,True,True,-0.721457414577051,-1.1795826305700354,0.18990770499345716,52.25222593210908,35.0,B,994bca5
1200.0,440200.0,40457.0,1.0,True,True,-0.7167269902914954,-1.3084382946813935,0.19198752489093235,51.26989426822482,43.0,B,994bca5
1200.0,440400.0,41273.0,4.0,True,True,-0.8853869138478848,-1.3968834975509838,0.1302006301499331,51.16736227045075,44.0,B,994bca5
1200.0,440600.0,40652.0,10.0,True,True,-0.6562461444230644,-1.2802015378867395,0.2206753660101979,50.694629938786875,39.0,B,994bca5
1200.0,440800.0,40742.0,2.0,True,True,-0.8254819636856319,-1.4976005094947398,0.1494576111045569,45.85545353366722,35.0,B,994bca5
1200.0,441000.0,41435.0,18.0,True,True,-0.7890011895246236,-1.640957184438211,0.1625544303408342,47.93141346688926,39.0,B,994bca5
1200.0,441200.0,41289.0,9.0,True,True,-0.8741866592857396,-1.619611172069559,0.13360211727136503,47.62367835281024,44.0,B,994bca5
1200.0,441400.0,40842.0,7.0,True,True,-0.5387650592727695,-1.0523235240992581,0.2892244079453613,43.368252643294376,25.0,B,994bca5
1200.0,441600.0,40950.0,6.0,True,True,-0.5968535617138055,-1.227945380642737,0.2530150985675669,51.19629938786867,43.0,B,994bca5
1200.0,441800.0,41160.0,18.0,True,True,-0.5283363203955567,-1.5260277188404847,0.29625362941139555,50.62701725097384,38.0,B,994bca5
1200.0,442000.0,41230.0,7.0,True,True,-0.5745031465864313,-1.552023272227847,0.26637707969237745,49.75139120756817,42.0,B,994bca5
1200.0,442200.0,40481.0,6.0,True,False,-0.6980513798091734,-1.5024215295003498,0.20042348995575562,44.425570395102945,35.0,B,994bca5
2400.0,456000.0,164586.0,11.0,True,True,-0.5948428979605639,-1.4850593374508996,0.2541892045355717,93.86725048651653,70.0,B,994bca5
2400.0,456200.0,165010.0,14.0,True,True,-0.5659774360758099,-2.067952671897712,0.271658040607332,98.97428412566028,76.0,B,994bca5
2400.0,456400.0,166103.0,10.0,True,True,-0.581913547579663,-1.7977923944462835,0.261870424622171,87.62336669446762,76.0,B,994bca5
2400.0,456600.0,162736.0,15.0,True,True,-0.8824941083504305,-1.6141884484811824,0.13107078233398747,112.49701139838754,106.0,B,994bca5
2400.0,456800.0,164482.0,13.0,True,True,-0.8153140248371065,-1.4987608632112575,0.15299807800936505,103.53982485404504,76.0,B,994bca5
2400.0,457000.0,164499.0,7.0,True,True,-0.8779747596064231,-1.8332906530089188,0.1324418505716615,99.92458993605783,71.0,B,994bca5
2400.0,457200.0,163766.0,4.0,True,True,-0.8534847842231166,-1.6638033311192733,0.14012486776976446,91.70350291909925,76.0,B,994bca5
2400.0,457400.0,163260.0,4.0,True,True,-0.6746817124919345,-1.5373250838078385,0.2115038550025244,98.71080066722267,81.0,B,994bca5
2400.0,457600.0,161354.0,38.0,True,True,-0.899178603694196,-1.6458208964358787,0.12613087144496546,90.59382819015848,73.0,B,994bca5
2400.0,457800.0,164005.0,27.0,True,True,-0.8780787462081607,-1.4282472238389938,0.13241014275615193,96.91791770920211,85.0,B,994bca5
2400.0,458000.0,164198.0,11.0,True,True,-0.6824640059963064,-1.41166093569945,0.2077475898095202,95.33541840422573,65.0,B,994bca5
2400.0,458200.0,165602.0,8.0,True,True,-0.9715563510027614,-1.4937417856056894,0.106768624807976,95.48776758409787,74.0,B,994bca5
