tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
0.3,6120000.0,False,2771.0,1731.8750000000002,66295.0,8.0,True,-0.7354448333363925,0.18388875254403092,85.0,18.42823919966311,A13,3f46313
0.3,6120200.0,False,2672.0,1670.0000000000002,58032.0,1.0,True,-0.7722380578548148,0.16895145729509775,78.5,8.526429498916883,A13,3f46313
0.3,6120400.0,False,2724.0,1702.5000000000002,62454.0,6.0,True,-0.6807642607759479,0.20856226719531262,73.16666666666667,10.980285363626333,A13,3f46313
0.3,6120600.0,False,2688.0,1680.0000000000002,61168.0,4.0,True,-0.5669579765573014,0.2710453889639649,66.5,10.134100848126586,A13,3f46313
0.3,6120800.0,False,2700.0,1687.5000000000002,61790.0,3.0,True,-0.7566181168261565,0.1751386037885962,68.33333333333333,8.71014733897577,A13,3f46313
0.3,6121000.0,False,2782.0,1738.7500000000002,65817.0,0.0,True,-0.8070124527662089,0.15595077855554035,80.33333333333333,16.488379746556866,A13,3f46313
0.3,6121200.0,False,2659.0,1661.8750000000002,58045.0,9.0,True,-0.6982069610850392,0.2003517032789382,78.5,11.502173707608488,A13,3f46313
0.3,6121400.0,False,2725.0,1703.1250000000002,63852.0,6.0,True,-0.9795870576297497,0.10481246679651089,69.33333333333333,11.075498483890767,A13,3f46313
0.3,6121600.0,False,2652.0,1657.5000000000002,60221.0,6.0,True,-0.6844333258429673,0.2068076854746811,69.66666666666667,7.447594690010102,A13,3f46313
0.3,6121800.0,False,2616.0,1635.0000000000002,58937.0,0.0,True,-0.570170375650751,0.2690479109980317,71.16666666666667,11.805366011550284,A13,3f46313
0.3,6122000.0,False,2763.0,1726.8750000000002,63249.0,7.0,True,-0.6965403941553162,0.20112201239465902,78.33333333333333,14.27818849387648,A13,3f46313
0.3,6122200.0,False,2850.0,1781.2500000000002,68480.0,3.0,True,-0.5514839623254075,0.28087690933880916,72.5,6.156297588648554,A13,3f46313
0.3,6122400.0,False,2689.0,1680.6250000000002,59911.0,7.0,True,-0.7754198516468157,0.16771818284179535,72.83333333333333,13.746514709797049,A13,3f46313
0.3,6122600.0,False,2670.0,1668.7500000000002,59799.0,3.0,True,-0.6839198761943052,0.20705233082946914,64.83333333333333,9.108603991099113,A13,3f46313
0.3,6122800.0,False,2690.0,1681.2500000000002,60236.0,6.0,True,-0.9914267799011832,0.10199367022964595,75.16666666666667,7.67897562612792,A13,3f46313
0.3,6123000.0,False,2741.0,1713.1250000000002,61860.0,13.0,True,-0.8171295310522331,0.1523598263288425,81.66666666666667,4.718756898449704,A13,3f46313
0.3,6123200.0,False,2722.0,1701.2500000000002,61418.0,3.0,True,-0.6777942121922332,0.20999346892373122,77.66666666666667,9.72967967955095,A13,3f46313
0.3,6123400.0,False,2702.0,1688.7500000000002,61814.0,0.0,True,-0.7308946391694234,0.18582552173601086,65.83333333333333,9.558591249063152,A13,3f46313
0.3,6123600.0,False,2749.0,1718.1250000000002,63649.0,3.0,True,-0.6646546588171621,0.21644389526810556,74.0,10.119288512538814,A13,3f46313
0.3,6123800.0,False,2672.0,1670.0000000000002,59798.0,2.0,True,-0.6249051102668748,0.23718918877054768,69.16666666666667,10.49603099588919,A13,3f46313
0.3,6124000.0,False,2787.0,1741.8750000000002,65752.0,9.0,True,-0.7933208083185571,0.16094563091720449,79.16666666666667,9.217736526212207,A13,3f46313
0.6,6164000.0,False,2183.0,443.421875,32800.0,3.0,True,-0.7143374065968591,0.19304679394371604,76.0,7.745966692414834,A13,3f46313
0.6,6164200.0,False,2135.0,433.671875,28831.0,10.0,True,-1.163868872349076,0.06856952289263471,72.0,9.777525249264253,A13,3f46313
0.6,6164400.0,False,2070.0,420.46875,27059.0,1.0,True,-0.5847486846725883,0.26016646457442516,66.16666666666667,10.107752800037536,A13,3f46313
0.6,6164600.0,False,2099.0,426.359375,28166.0,15.0,True,-0.6141984931819334,0.24310926304493038,74.5,15.109599597606815,A13,3f46313
0.6,6164800.0,False,2142.0,435.09375,29477.0,8.0,True,-0.7005836288196,0.19925827725525086,70.5,15.293789589241772,A13,3f46313
