tau_ell,seed,flat_twin,n_realized,rho_hat,pool_size,rejections,complete,y,median_relerr,mean_m,sd_m,stage,code_version
0.3,16000000.0,False,2707.0,1691.8750000000002,63350.0,10.0,True,-0.7855596598523654,0.16384769651520187,81.0,11.009087155618309,A13,33e371f
0.3,16000200.0,False,2793.0,1745.6250000000002,65394.0,5.0,True,-0.7327606422398456,0.1850288108778667,70.33333333333333,7.5277265270908105,A13,33e371f
0.3,16000400.0,False,2663.0,1664.3750000000002,59144.0,16.0,True,-0.919227252414631,0.12044055485448335,78.16666666666667,11.651895410904899,A13,33e371f
0.3,16000600.0,False,2722.0,1701.2500000000002,60943.0,6.0,True,-0.6998459642124637,0.19959701211357878,76.16666666666667,17.47474367956986,A13,33e371f
0.3,16000800.0,False,2661.0,1663.1250000000002,60733.0,8.0,True,-0.7622658764609195,0.1728757684242129,73.5,8.455767262643882,A13,33e371f
0.3,16001000.0,False,2678.0,1673.7500000000002,61644.0,4.0,True,-0.5793143834078244,0.2634423650490473,70.16666666666667,10.628577828979127,A13,33e371f
0.3,16001200.0,False,2748.0,1717.5000000000002,60490.0,3.0,True,-0.6446623679569708,0.22664055866554902,73.66666666666667,12.07752734075426,A13,33e371f
0.3,16001400.0,False,2767.0,1729.3750000000002,65768.0,2.0,True,-0.873773840791378,0.1337291731022319,87.5,11.962441222426131,A13,33e371f
0.3,16001600.0,False,2738.0,1711.2500000000002,62411.0,2.0,True,-0.6446689031542553,0.22663714823856618,78.33333333333333,11.183320914051722,A13,33e371f
0.3,16001800.0,False,2708.0,1692.5000000000002,60757.0,4.0,True,-0.9070802782985598,0.12385676191003629,82.33333333333333,10.93008081702357,A13,33e371f
0.3,16002000.0,False,2663.0,1664.3750000000002,61184.0,6.0,True,-0.8481291309143814,0.14186356490583754,69.33333333333333,11.075498483890765,A13,33e371f
0.3,16002200.0,False,2829.0,1768.1250000000002,67048.0,2.0,True,-0.6733437236604929,0.21215646786728215,73.83333333333333,13.948715592005835,A13,33e371f
0.3,16002400.0,False,2704.0,1690.0000000000002,61869.0,9.0,True,-0.6660511179257338,0.21574904503021555,66.66666666666667,2.7325202042558927,A13,33e371f
0.3,16002600.0,False,2717.0,1698.1250000000002,61849.0,9.0,True,-0.7540044235943062,0.17619580995395495,72.83333333333333,11.548448669265786,A13,33e371f
0.3,16002800.0,False,2819.0,1761.8750000000002,65698.0,5.0,True,-0.715260628456147,0.19263685155089644,71.66666666666667,10.576703960434301,A13,33e371f
0.3,16003000.0,False,2677.0,1673.1250000000002,58873.0,2.0,True,-0.828991256295009,0.1482547933168001,82.0,11.74734012447073,A13,33e371f
0.3,16003200.0,False,2728.0,1705.0000000000002,60981.0,2.0,True,-0.6612683333942175,0.21813817058506826,85.0,5.477225575051661,A13,33e371f
0.3,16003400.0,False,2742.0,1713.7500000000002,66577.0,5.0,True,-0.6291787413505638,0.2348665988091271,81.5,14.390969390558789,A13,33e371f
0.3,16003600.0,False,2746.0,1716.2500000000002,63377.0,9.0,True,-0.6822102731260913,0.20786900004111009,78.16666666666667,4.875106836436169,A13,33e371f
0.3,16003800.0,False,2690.0,1681.2500000000002,60347.0,13.0,True,-1.0062139257666591,0.0985793781466616,76.5,12.565826673959815,A13,33e371f
0.3,16004000.0,False,2708.0,1692.5000000000002,62425.0,16.0,True,-0.6898772265138838,0.20423152182268123,80.0,12.409673645990857,A13,33e371f
0.3,16004200.0,False,2713.0,1695.6250000000002,62222.0,9.0,True,-0.6712046030167677,0.21320402385432496,77.33333333333333,5.645056834671079,A13,33e371f
0.3,16004400.0,False,2739.0,1711.8750000000002,62431.0,4.0,True,-0.6011377812538257,0.2505314308305997,72.5,9.974968671630002,A13,33e371f
0.3,16004600.0,False,2744.0,1715.0000000000002,63171.0,4.0,True,-0.5519756605180804,0.28055908693179865,74.0,7.58946638440411,A13,33e371f
0.3,16004800.0,False,2640.0,1650.0000000000002,56756.0,3.0,True,-0.9588387849724306,0.10994138785697255,70.33333333333333,7.312090444371341,A13,33e371f
0.3,16005000.0,False,2799.0,1749.3750000000002,67322.0,7.0,True,-0.6733990120771572,0.2121294607348511,67.83333333333333,15.841927492154062,A13,33e371f
0.3,16005200.0,False,2718.0,1698.7500000000002,62658.0,4.0,True,-0.6540836820696432,0.22177690476075043,71.83333333333333,10.647378394077421,A13,33e371f
0.3,16005400.0,False,2713.0,1695.6250000000002,61798.0,5.0,True,-0.765325401105465,0.1716621702796735,69.83333333333333,3.371448748930742,A13,33e371f
0.3,16005600.0,False,2742.0,1713.7500000000002,64439.0,1.0,True,-0.7238454762251499,0.18886632237563025,69.5,12.045746137122432,A13,33e371f
0.3,16005800.0,False,2685.0,1678.1250000000002,60613.0,3.0,True,-0.8696551176376816,0.13500345477860665,79.0,13.007690033207279,A13,33e371f
0.3,16006000.0,False,2729.0,1705.6250000000002,63023.0,5.0,True,-0.6708084660981611,0.21339858427125102,74.5,14.896308267486948,A13,33e371f
0.3,16006200.0,False,2780.0,1737.5000000000002,65323.0,7.0,True,-0.7922898327219541,0.16132815506450848,78.5,24.704250646396865,A13,33e371f
0.3,16006400.0,False,2710.0,1693.7500000000002,63102.0,4.0,True,-0.6744830217343369,0.21160064065698497,75.83333333333333,12.335585379975555,A13,33e371f
0.3,16006600.0,False,2776.0,1735.0000000000002,67122.0,6.0,True,-0.6963098317191434,0.2012288143326217,81.33333333333333,8.238122763510306,A13,33e371f
0.3,16006800.0,False,2701.0,1688.1250000000002,60904.0,11.0,True,-0.7389815531460855,0.18239731747571988,82.5,13.575713609236164,A13,33e371f
0.3,16007000.0,False,2644.0,1652.5000000000002,61543.0,3.0,True,-0.6067951297285836,0.2472890409554675,73.83333333333333,5.946988033169957,A13,33e371f
0.3,16007200.0,False,2712.0,1695.0000000000002,61927.0,0.0,True,-0.5806643995280267,0.2626247188420718,74.5,16.658331248957683,A13,33e371f
0.3,16007400.0,False,2763.0,1726.8750000000002,65953.0,4.0,True,-0.6096327680778398,0.24567854530178604,75.5,14.010710188994704,A13,33e371f
0.3,16007600.0,False,2694.0,1683.7500000000002,61040.0,8.0,True,-0.7319943811905152,0.18535556041672077,76.33333333333333,6.439461675223067,A13,33e371f
0.3,16007800.0,False,2735.0,1709.3750000000002,62077.0,8.0,True,-0.7751707247161975,0.16781441962186633,77.66666666666667,17.443241289011244,A13,33e371f
0.3,16008000.0,False,2772.0,1732.5000000000002,63415.0,1.0,True,-0.6892035511050827,0.20454857056737674,73.66666666666667,10.112698288126007,A13,33e371f
0.3,16008200.0,False,2703.0,1689.3750000000002,61145.0,4.0,True,-0.633184091892289,0.23271046185978372,72.66666666666667,6.97614984548545,A13,33e371f
0.3,16008400.0,False,2724.0,1702.5000000000002,62193.0,8.0,True,-0.7620465307927037,0.1729631034699008,74.16666666666667,14.274686219551961,A13,33e371f
0.3,16008600.0,False,2804.0,1752.5000000000002,65905.0,5.0,True,-0.7244932171458562,0.1885848422627464,79.66666666666667,13.411437904515186,A13,33e371f
0.3,16008800.0,False,2773.0,1733.1250000000002,62602.0,1.0,True,-0.6782981156090262,0.2097499588947776,79.0,12.601587201618692,A13,33e371f
0.3,16009000.0,False,2695.0,1684.3750000000002,60708.0,19.0,True,-0.7281057066405044,0.18702268744818004,73.16666666666667,13.482086880993858,A13,33e371f
0.3,16009200.0,False,2704.0,1690.0000000000002,61574.0,3.0,True,-0.8199527910135843,0.1513725785585861,70.66666666666667,11.129540272026812,A13,33e371f
0.3,16009400.0,False,2792.0,1745.0000000000002,62897.0,4.0,True,-0.8952784884465221,0.12726867174122822,77.5,19.336493994517205,A13,33e371f
0.3,16009600.0,False,2678.0,1673.7500000000002,59595.0,9.0,True,-0.8209064813950967,0.15104053616008575,76.66666666666667,12.1764800606196,A13,33e371f
0.3,16009800.0,False,2753.0,1720.6250000000002,62319.0,6.0,True,-0.9664560202831153,0.1080299014026835,80.5,12.161414391426682,A13,33e371f
0.3,16010000.0,False,2669.0,1668.1250000000002,60279.0,10.0,True,-0.6090299740478637,0.24601978008585534,69.5,15.215124054702938,A13,33e371f
0.3,16010200.0,False,2696.0,1685.0000000000002,62521.0,2.0,True,-0.7439745566055657,0.18031233747952835,72.66666666666667,11.039323650779819,A13,33e371f
0.3,16010400.0,False,2739.0,1711.8750000000002,63833.0,4.0,True,-0.8116155824794921,0.15430656994903924,80.83333333333333,9.765585833254791,A13,33e371f
0.3,16010600.0,False,2749.0,1718.1250000000002,62237.0,6.0,True,-0.8669151103484374,0.13585789761528932,79.0,21.004761364985796,A13,33e371f
0.3,16010800.0,False,2707.0,1691.8750000000002,60784.0,3.0,True,-0.6263362035313716,0.2364088859693444,75.33333333333333,5.853773711604051,A13,33e371f
0.3,16011000.0,False,2721.0,1700.6250000000002,64122.0,6.0,True,-0.8122775469911131,0.154071550462427,74.33333333333333,9.993331109628395,A13,33e371f
0.3,16011200.0,False,2760.0,1725.0000000000002,62984.0,21.0,True,-0.7299702278222145,0.18622147926471627,82.0,19.969977466186585,A13,33e371f
0.3,16011400.0,False,2658.0,1661.2500000000002,57125.0,4.0,True,-0.8012042130637536,0.15805046828322755,74.16666666666667,7.547626558506102,A13,33e371f
0.3,16011600.0,False,2754.0,1721.2500000000002,64565.0,0.0,True,-0.8648532479418399,0.1365044319565086,71.66666666666667,10.250203250017371,A13,33e371f
0.3,16011800.0,False,2686.0,1678.7500000000002,60469.0,13.0,True,-1.0301451517686668,0.09329424366519387,75.5,14.55678535941229,A13,33e371f
0.3,16012000.0,False,2722.0,1701.2500000000002,60918.0,10.0,True,-0.9447856361923136,0.11355711849766961,80.33333333333333,8.891943919451283,A13,33e371f
0.3,16012200.0,False,2707.0,1691.8750000000002,60948.0,3.0,True,-0.645736566986477,0.22608067075813293,73.16666666666667,8.207719943240429,A13,33e371f
0.3,16012400.0,False,2791.0,1744.3750000000002,65247.0,2.0,True,-0.5799720769583865,0.26304371108844227,72.5,16.59819267269783,A13,33e371f
0.3,16012600.0,False,2686.0,1678.7500000000002,60448.0,15.0,True,-0.6496519396855648,0.22405160550219752,71.33333333333333,12.971764207950539,A13,33e371f
0.3,16012800.0,False,2785.0,1740.6250000000002,64694.0,2.0,True,-0.8223430497469587,0.15054174653022143,72.33333333333333,9.287985070329661,A13,33e371f
0.3,16013000.0,False,2764.0,1727.5000000000002,65597.0,6.0,True,-0.5945189613560136,0.2543788728544189,65.66666666666667,10.893423092245461,A13,33e371f
0.3,16013200.0,False,2740.0,1712.5000000000002,65079.0,4.0,True,-0.8177589481785994,0.1521391732239571,85.16666666666667,19.518367418067186,A13,33e371f
0.3,16013400.0,False,2776.0,1735.0000000000002,64291.0,2.0,True,-0.77116200872085,0.16937058644720349,83.66666666666667,18.217207982198225,A13,33e371f
0.3,16013600.0,False,2794.0,1746.2500000000002,65071.0,4.0,True,-1.1162451588432405,0.07651645502765927,82.16666666666667,11.089033621856625,A13,33e371f
