stage,seed,epsilon,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,achieved_density,target_density,density_held,truth_order_error,heldout_violation,restart_order_disagreement
P1-B,300.0,0.0,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,fa6d63131c78756a,300.0,40.0,ok,0.5680943050841222,0.5680943050841222,1.0,0.09367755532139094,0.021,0.12511627906976744
P1-B,300.0,0.15,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,a026db9de976cfac,300.0,40.0,ok,0.5864227171123437,0.5680943050841222,1.0,0.12012644889357219,0.014,0.13285412262156449
P1-B,300.0,0.3,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,78207764c2a3a955,300.0,40.0,ok,0.5763703765028378,0.5680943050841222,1.0,0.17776606954689148,0.036,0.11813953488372095
P1-B,300.0,0.45,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,e881ecd3cc03b32a,300.0,37.0,ok,0.5603857935259542,0.5680943050841222,1.0,0.23009596119371506,0.012,0.10825180774138665
P1-B,300.0,0.6,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,7a89b99da2e45172,300.0,33.0,ok,0.5542263432403345,0.5680943050841222,1.0,0.33812107671028835,0.047,0.04920770877944326
P1-B,300.0,0.75,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,be789226fa376687,300.0,35.0,ok,0.5706037107560412,0.5680943050841222,1.0,0.4659235668789809,0.152,0.052365660458146
P1-B,300.0,0.9,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,89f04522d5234691,300.0,39.0,ok,0.5704537719274039,0.5680943050841222,1.0,0.5117869922121658,0.2,0.27885228480340063
P1-B,300.0,1.0,a218d9a,b8ce4d61ee9df29d,c19b3c7ac7ae2a10,0a3ff4124ccf519c,300.0,40.0,ok,0.582558342762002,0.5680943050841222,1.0,0.49378292939936774,0.255,0.31069767441860463
P1-B,301.0,0.0,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,e3f1ddc7447b7269,301.0,40.0,ok,0.565021938902227,0.565021938902227,1.0,0.09678100263852243,0.02,0.1347523709167545
P1-B,301.0,0.15,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,ac45ef2b72c5debd,301.0,40.0,ok,0.5745481138063305,0.565021938902227,1.0,0.12063324538258575,0.022,0.1310432033719705
P1-B,301.0,0.3,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,5a9dba0c120d0e8a,301.0,39.0,ok,0.5787565195794354,0.565021938902227,1.0,0.16889684964703403,0.027,0.12539716161830122
P1-B,301.0,0.45,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,954768dca9aefdf6,301.0,40.0,ok,0.5833825463844505,0.565021938902227,1.0,0.22765171503957785,0.035,0.10276080084299262
P1-B,301.0,0.6,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,fe04551a6a97b86c,301.0,38.0,ok,0.5483400943786737,0.565021938902227,1.0,0.29639830508474574,0.057,0.10044294452647122
P1-B,301.0,0.75,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,5e8b39475d2ad8f9,301.0,36.0,ok,0.5544655094700628,0.565021938902227,1.0,0.4066574790628644,0.197,0.21576605212968847
P1-B,301.0,0.9,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,83be517ac8558897,301.0,34.0,ok,0.5731048375969313,0.565021938902227,1.0,0.4862326574172892,0.248,0.28514809290432563
P1-B,301.0,1.0,a218d9a,f2b786a0355fcf5d,0ce602e5e5043956,9349decdbec08c95,301.0,33.0,ok,0.568735454553817,0.565021938902227,1.0,0.48929142248268515,0.183,0.354167554892347
P1-B,302.0,0.0,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,a5adfd9d12fbc87a,302.0,40.0,ok,0.5732143021405377,0.5732143021405377,1.0,0.09922138047138047,0.028,0.14187565858798737
P1-B,302.0,0.15,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,37172e4ab1690e58,302.0,40.0,ok,0.5926428788255098,0.5732143021405377,1.0,0.11963383838383838,0.041,0.14204425711275026
P1-B,302.0,0.3,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,ae8bcc994ee9c8b4,302.0,40.0,ok,0.5769830099989881,0.5732143021405377,1.0,0.14414983164983164,0.023,0.12771338250790304
P1-B,302.0,0.45,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,a036a1a21957a9e8,302.0,40.0,ok,0.5884298737018333,0.5732143021405377,1.0,0.20517676767676768,0.044,0.12817702845100104
P1-B,302.0,0.6,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,7d2addc860ddc9cd,302.0,38.0,ok,0.5555049626992669,0.5732143021405377,1.0,0.2674406332453826,0.107,0.10276080084299262
P1-B,302.0,0.75,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,751d82b669df6760,302.0,40.0,ok,0.5851091425890664,0.5732143021405377,1.0,0.5124158249158249,0.292,0.3220231822971549
P1-B,302.0,0.9,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,5241864aabd52a74,302.0,35.0,ok,0.5846593261031542,0.5732143021405377,1.0,0.4851569126378287,0.284,0.1841168996188056
P1-B,302.0,1.0,a218d9a,8ad72cfd79fc3784,c31e1050dab291a7,a9bc194b0ca851eb,302.0,39.0,ok,0.5643163985245283,0.5732143021405377,1.0,0.5094299863028132,0.315,0.35134680134680135
P1-B,303.0,0.0,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,833e8666c832ea10,303.0,38.0,ok,0.5673482904213925,0.5673482904213925,1.0,0.08889825152728038,0.024,0.12103600758054327
P1-B,303.0,0.15,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,e8d48eb6e1310e8c,303.0,38.0,ok,0.5782745076395213,0.5673482904213925,1.0,0.10469770381293449,0.02,0.12520530638029057
P1-B,303.0,0.3,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,54d112fcfbca1b37,303.0,38.0,ok,0.5713626036003716,0.5673482904213925,1.0,0.15009479671371392,0.032,0.1252053063802906
P1-B,303.0,0.45,a218d9a,bc26f267e58083e8,26d397eaa5eb3447,3cd8dd92966b7ddc,303.0,36.0,ok,0.5721113778734442,0.5673482904213925,1.0,0.18804324782700868,0.04,0.10452049007182088
