stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,control_status,control_d2_heldout,d1_heldout,d1_truth,d2_heldout,d2_truth,d3_heldout,d3_truth
P2-A,0.0,d2508b4,63a29051150f1b55,6be806011f57d175,1748132fcfe8a6e5,0.0,34.0,ok,ok,0.247,0.206,0.21994666666666668,0.03,0.09546666666666667,0.085,0.10912
P2-A,1.0,d2508b4,882c65677078ca0c,8a9d42c7e632968c,d63994433c931c31,1.0,31.0,ok,ok,0.201,0.2,0.19123931623931623,0.053,0.0889957264957265,0.029,0.09017094017094017
P2-A,2.0,d2508b4,166fc5f925d62a97,ec2394382bbd35cc,ada550b6e68894e8,2.0,41.0,ok,ok,0.207,0.231,0.265720294426919,0.072,0.11724500525762356,0.043,0.10084121976866456
P2-A,3.0,d2508b4,7103374e07b49f7b,f52c1b7b120fd96a,f9b65f86c2c2bc22,3.0,35.0,ok,ok,0.119,0.155,0.2019955418745356,0.026,0.08852563422142024,0.065,0.10062626048190214
P2-A,4.0,d2508b4,f8a4db187249f9f4,e75d40ab2f57ed92,bf8e28492395a676,4.0,30.0,ok,ok,0.258,0.228,0.26455764075067023,0.047,0.08986595174262735,0.063,0.07828418230563003
P2-A,5.0,d2508b4,d54439b81a38b222,2b43ebc6794835f5,8114abbc2012b73f,5.0,35.0,ok,ok,0.217,0.153,0.22738826519805125,0.039,0.0950010590976488,0.079,0.11342935818682483
P2-A,6.0,d2508b4,461464a2143b040b,af2e85a5a5cc89ee,c97deebc4acff412,6.0,36.0,ok,ok,0.204,0.184,0.22577570687281584,0.018,0.0939320131314201,0.029,0.09329662183628085
P2-A,7.0,d2508b4,dcfe8fb3be404d7c,0df37dbc2910cc6b,6bef562a59bc04fa,7.0,32.0,ok,ok,0.211,0.168,0.21282270108811607,0.034,0.08875613398762534,0.08,0.1020908896949008
P2-A,8.0,d2508b4,8e2edc049b33cb37,82217ca581bd6606,b0dc87f4105d869c,8.0,40.0,ok,ok,0.179,0.245,0.24326892619575546,0.041,0.09798331749551262,0.055,0.10410727483898216
P2-A,9.0,d2508b4,,,,,,scene_invalid: 2+1D scene: only 28 eligible targets (minimum 30),,,,,,,,
