stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,control_status,control_d2_heldout,d1_heldout,d1_truth,d2_heldout,d2_truth,d3_heldout,d3_truth
P2v2-A,0.0,aee54e0,a8001ca1b02f4b6c,a61f9f32ca2b69df,21a53b1b6a4944af,0.0,44.0,ok,ok,0.203,0.151,0.2239071323990797,0.038,0.11064630830370216,0.035,0.1061493411420205
P2v2-A,1.0,aee54e0,e37146c93995703f,261be20773e49dda,460b9595e0c3181b,1.0,44.0,ok,ok,0.222,0.198,0.22961643261370782,0.039,0.10595263047579123,0.095,0.11947180884510585
P2v2-A,2.0,aee54e0,f8c073000fb992c1,aefaafce25abfe6b,ec9576c45f84c785,2.0,44.0,ok,ok,0.176,0.196,0.23792055340111098,0.049,0.10082800545016246,0.041,0.10491562729273661
P2v2-A,3.0,aee54e0,172a90dc6acc7d2a,325492f265195424,f1a303867dfd9f1a,3.0,44.0,ok,ok,0.187,0.188,0.2398361172392058,0.037,0.0928668977833806,0.044,0.09895997478726758
P2v2-A,4.0,aee54e0,baa913eaaa6b1530,95f8086f400741b8,3154be04d7958f6d,4.0,44.0,ok,ok,0.228,0.158,0.22263003355704697,0.036,0.09385486577181208,0.042,0.10696308724832215
P2v2-A,5.0,aee54e0,62ad8d2345fb9b71,46085c0ad0f6a6d5,f52205706df7ffb2,5.0,44.0,ok,ok,0.23,0.196,0.262634718007743,0.049,0.10170555613686304,0.078,0.11248299675630428
P2v2-A,6.0,aee54e0,e551d398f1f54b8e,9c392d0f58046e9a,e7d2ece91a63533d,6.0,44.0,ok,ok,0.21,0.204,0.23716202054076713,0.041,0.09788304338713058,0.039,0.10542863131418989
P2v2-A,7.0,aee54e0,9be11dd4456e2bd3,7feb491ae70814d0,45911ea79606e540,7.0,44.0,ok,ok,0.139,0.168,0.20628601361969617,0.061,0.1037192247249869,0.068,0.11178627553693032
P2v2-A,8.0,aee54e0,dd55eb6c5bf6fe59,66f4da598b561fc6,a3190a9551e268cf,8.0,44.0,ok,ok,0.202,0.212,0.2486344537815126,0.04,0.09621848739495799,0.032,0.09684873949579832
P2v2-A,9.0,aee54e0,43d1e72854556024,19a9a16931564c10,7d9c1b629ef2bc5e,9.0,44.0,ok,ok,0.213,0.239,0.26255109527303216,0.067,0.10596373545749921,0.073,0.10879362750235824
