stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,control_status,control_d2_heldout,d1_heldout,d1_truth,d2_heldout,d2_truth,d3_heldout,d3_truth
P2v2-B,500.0,cdeb696,bd82dceb40119975,97221e155bfbb490,a5715578102481ac,500.0,44.0,ok,ok,0.167,0.242,0.2745323440275891,0.036,0.09750235134287805,0.06,0.10502664855261783
P2v2-B,501.0,cdeb696,ed6785a3302fb235,412b19b00ba517d2,6a66ee8fecc30bfa,501.0,44.0,ok,ok,0.168,0.158,0.21595310373704596,0.031,0.09515335496702607,0.038,0.09839840887679263
P2v2-B,502.0,cdeb696,ee0f7252329782fb,1c2a4cf5613b7d2f,c638c489b6eac6bc,502.0,44.0,ok,ok,0.153,0.211,0.25732591114378744,0.072,0.10429576725133914,0.033,0.0982039701712005
P2v2-B,503.0,cdeb696,1bca71464234c288,0ee166ef9ae1314e,20e9b83472b2fae3,503.0,44.0,ok,ok,0.127,0.182,0.2394971189104243,0.06,0.11189104243059193,0.062,0.1035096909376637
P2v2-B,504.0,cdeb696,f8e41b3230508fd2,5bf87b6e7d5fdba5,0457c701d4793d0e,504.0,44.0,ok,ok,0.218,0.23,0.25900568780282285,0.037,0.09974720876342953,0.048,0.11122814409100484
P2v2-B,505.0,cdeb696,6d9f7b7766db4f21,d29742f2eb7dd922,2b2350ae21f9e2c2,505.0,44.0,ok,ok,0.186,0.177,0.2352140688788862,0.04,0.10007327541086569,0.052,0.11546111169266199
P2v2-B,506.0,cdeb696,1b407eb22442910c,c9c0e403ddc03991,34860f6c1f6c24ee,506.0,44.0,ok,ok,0.202,0.172,0.23936114321740043,0.051,0.1070715561626563,0.061,0.11169486182620574
P2v2-B,507.0,cdeb696,d7061ae877345a69,95bb166efe4c8c60,72d45fc9acfa9486,507.0,44.0,ok,ok,0.221,0.196,0.24346644365461007,0.038,0.10568680744302739,0.05,0.11885845703533347
P2v2-B,508.0,cdeb696,cd4f7438cbeda09f,a040235df07fe452,5136b77783dfb3a2,508.0,44.0,ok,ok,0.192,0.241,0.24703162761374384,0.062,0.11589786697488705,0.058,0.11642324261847221
P2v2-B,509.0,cdeb696,8c0c6996d442dbcc,03d5b5f7ea76afc3,c94818f8185dc92b,509.0,44.0,ok,ok,0.182,0.187,0.23493596472811254,0.052,0.108859962208692,0.059,0.10812513121981944
P2v2-B,510.0,cdeb696,84b1f90a4b5f6f41,c75a8fb39947d0d6,f5ad0f095e6aea09,510.0,44.0,ok,ok,0.165,0.216,0.2274687138500368,0.026,0.09611946576927122,0.072,0.1186244610369124
P2v2-B,511.0,cdeb696,5ca44d995721e862,9afca839b1b0b745,375804e74c5bb166,511.0,44.0,ok,ok,0.165,0.174,0.22033364809568776,0.059,0.10670443814919736,0.065,0.1058650718707376
P2v2-B,512.0,cdeb696,9a28d20ec19ee2ad,2948b82cc0b40676,13ab1dab8129f305,512.0,43.0,ok,ok,0.216,0.254,0.276311639154663,0.065,0.10104090001051415,0.037,0.09809694038481757
P2v2-B,513.0,cdeb696,f94d4122d3bb4aa3,6ab0675aee220a1f,fe09af186262ee52,513.0,44.0,ok,ok,0.173,0.215,0.2025078369905956,0.047,0.10365726227795194,0.068,0.11212121212121212
P2v2-B,514.0,cdeb696,3c7733145c070cfb,82f8017617ec04d7,d02effceee769f37,514.0,42.0,ok,ok,0.268,0.223,0.2462992125984252,0.034,0.10236220472440945,0.061,0.09606299212598425
P2v2-B,515.0,cdeb696,21b97124b10dc466,26cdd807ce3418af,5c1bc49117546b99,515.0,44.0,ok,ok,0.207,0.179,0.21807672096689437,0.055,0.1115081450341566,0.055,0.10625328428796636
P2v2-B,516.0,cdeb696,96e4e20a46af419b,cec1b57c9e038383,a6da2194f579ceb7,516.0,44.0,ok,ok,0.216,0.207,0.24573343105433987,0.038,0.08951942205004712,0.051,0.10721390430321433
P2v2-B,517.0,cdeb696,041a5858de0aeb7a,f7d923d788115493,1b46f0ca2471a8ca,517.0,44.0,ok,ok,0.166,0.238,0.26156433978132887,0.035,0.10544575273338941,0.062,0.11364592094196804
P2v2-B,518.0,cdeb696,f464df1501ad9d6b,a0e3d50c1df411fa,e040f1e66fe97329,518.0,43.0,ok,ok,0.155,0.219,0.2517063950435787,0.031,0.09870839021316812,0.076,0.1128845951905912
P2v2-B,519.0,cdeb696,1c58f3b177a45342,203158d0aef7cab8,74379a495d12e2b3,519.0,44.0,ok,ok,0.175,0.155,0.21824310090583526,0.049,0.10564567095007373,0.063,0.10617231935959554
