status,n_targets,min_chain_len,heldout,null_gap,truth,stage,seed,code_version
ok,44.0,52.0,0.035,0.20875,0.17104403501894683,P3-A,0.0,f4837c8
ok,44.0,54.0,0.04,0.18625,0.27352670954193464,P3-A,1.0,f4837c8
ok,44.0,53.0,0.0225,0.26125,0.22193040052527904,P3-A,2.0,f4837c8
ok,44.0,50.0,0.03125,0.24625000000000002,0.18592767295597484,P3-A,3.0,f4837c8
ok,44.0,52.0,0.065,0.23249999999999998,0.21865965834428383,P3-A,4.0,f4837c8
ok,44.0,52.0,0.02375,0.2525,0.2185577803952362,P3-A,5.0,f4837c8
ok,44.0,52.0,0.035,0.205,0.1587696335078534,P3-A,6.0,f4837c8
ok,44.0,50.0,0.035,0.23750000000000002,0.13737558931377686,P3-A,7.0,f4837c8
ok,44.0,49.0,0.04375,0.285,0.18858267716535432,P3-A,8.0,f4837c8
ok,44.0,52.0,0.02875,0.2525,0.2211337513061651,P3-A,9.0,f4837c8
