status,stage,p,seed,density,code_version,gate_pass,n_targets,min_chain_len,heldout,null_gap
structural_block: only 0 chains,P3-B,0.006,100.0,0.1892648432288192,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,101.0,0.17384923282188125,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,102.0,0.21933911496553257,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,103.0,0.20720569268401157,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.006,104.0,0.2070624861018457,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,105.0,0.17851100733822547,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,106.0,0.17902868579052703,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.006,107.0,0.19433488992661774,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,108.0,0.18047854124972204,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,109.0,0.2011171892372693,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,110.0,0.18862174783188793,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,111.0,0.2056046253057594,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,112.0,0.19845674894374027,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,113.0,0.19567889704247277,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,114.0,0.18180653769179453,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,115.0,0.19515232377140315,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,116.0,0.1848574605292417,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,117.0,0.19723193239937736,2558335,0.0,,,,
structural_block: only 1 chains,P3-B,0.006,118.0,0.20520080053368914,2558335,0.0,,,,
structural_block: only 0 chains,P3-B,0.006,119.0,0.19181854569713142,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,100.0,0.3370620413609073,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,101.0,0.31643050922837446,2558335,0.0,,,,
structural_block: only 2 chains,P3-B,0.008,102.0,0.36321458750277963,2558335,0.0,,,,
structural_block: only 4 chains,P3-B,0.008,103.0,0.3420733822548366,2558335,0.0,,,,
