R,n0,n1,n2,mm_dim,height,seed
2465.0,299.0,234.0,171.0,2.0053965198654122,17.0,0
2257.0,290.0,233.0,174.0,2.1221442358795564,17.0,1
2610.0,306.0,217.0,189.0,1.9289037711704076,18.0,2
2313.0,332.0,218.0,181.0,2.0898268629224583,17.0,3
2321.0,318.0,249.0,197.0,2.085265618129055,15.0,4
2279.0,304.0,197.0,188.0,2.1093659841280292,17.0,5
2396.0,323.0,239.0,162.0,2.043151777011224,16.0,6
2306.0,334.0,210.0,187.0,2.093829172096501,15.0,7
2684.0,322.0,214.0,196.0,1.8912401610308294,19.0,8
2512.0,369.0,224.0,177.0,1.9801931896499916,16.0,9
2711.0,332.0,230.0,159.0,1.8777143487052212,19.0,10
2758.0,343.0,242.0,186.0,1.8544347584719998,15.0,11
2629.0,304.0,234.0,192.0,1.919148674236542,17.0,12
2395.0,282.0,226.0,196.0,2.04370577662995,19.0,13
2730.0,336.0,240.0,161.0,1.8682633488054785,18.0,14
2317.0,331.0,239.0,175.0,2.0875445364027296,17.0,15
2548.0,296.0,245.0,202.0,1.961158437795695,19.0,16
2531.0,293.0,211.0,191.0,1.970118423360157,18.0,17
2545.0,321.0,231.0,169.0,1.9627359204562547,21.0,18
2376.0,321.0,243.0,189.0,2.0542697591854306,15.0,19
2515.0,324.0,213.0,176.0,1.9785981409751416,17.0,20
2600.0,353.0,256.0,171.0,1.934062073376687,17.0,21
2505.0,361.0,217.0,217.0,1.983921280323214,14.0,22
2188.0,334.0,233.0,169.0,2.1629377585417817,15.0,23
2432.0,376.0,220.0,185.0,2.023338825081871,15.0,24
2570.0,323.0,254.0,195.0,1.949638055579698,17.0,25
2621.0,340.0,211.0,155.0,1.9232488294702357,18.0,26
2529.0,323.0,230.0,174.0,1.9711758937632635,16.0,27
2531.0,316.0,204.0,170.0,1.970118423360157,19.0,28
2428.0,327.0,245.0,186.0,2.0255277910163514,17.0,29
