beta,start,seed,S,R,n0,n1,n2,mm_dim,height,acc,class
0.0,R,100,2.046998849174642,2464.659898477157,323.11167512690355,227.8477157360406,184.48223350253807,2.0079225938060654,16.725888324873097,0.9900675,continuum
0.0,R,101,1.904133273757779,2457.140703517588,324.7437185929648,228.53266331658293,183.12060301507537,2.012310371024912,16.633165829145728,0.9900375,continuum
0.0,R,102,1.9513721965416833,2467.3065326633164,325.7437185929648,226.96984924623115,184.80402010050253,2.0065805511010764,16.618090452261306,0.9899475,continuum
0.0,R,103,1.9703625315586282,2475.214285714286,324.3469387755102,228.4234693877551,184.35714285714286,2.0025212295043926,16.566326530612244,0.9898575,continuum
0.0,R,104,2.128738996588224,2483.818181818182,322.0,230.83333333333334,183.25757575757575,1.9975288691577338,17.015151515151516,0.9901925,continuum
0.0,X,100,1.9060875713115604,2476.213197969543,324.10659898477155,230.40609137055839,184.25888324873097,2.001911505380038,16.695431472081218,0.990065,continuum
0.0,X,101,2.0324979839548476,2476.010101010101,322.57070707070704,231.1161616161616,183.22727272727272,2.0015669479665914,16.954545454545453,0.9901275,continuum
0.0,X,102,2.05116968593706,2475.949494949495,323.17676767676767,229.27272727272728,184.1919191919192,2.001954091882013,16.7979797979798,0.9901025,continuum
0.0,X,103,2.0022702306146622,2480.560606060606,323.949494949495,229.2020202020202,184.04545454545453,1.9997797132251507,16.63131313131313,0.98985,continuum
0.0,X,104,2.0109991707010892,2492.1065989847716,322.8730964467005,231.2944162436548,184.16243654822335,1.9936636616995105,16.79187817258883,0.9899375,continuum
1.0,R,100,0.5243910962895774,2412.3015075376884,338.8894472361809,235.5075376884422,183.9246231155779,2.0363711443448826,15.814070351758794,0.85392,continuum
1.0,R,101,0.34889084663054304,2404.203045685279,339.6852791878173,234.6802030456853,185.54314720812184,2.0413377113696676,15.949238578680204,0.8519225,continuum
1.0,R,102,0.40057863761021434,2421.4371859296484,339.78391959798995,236.08040201005025,183.0502512562814,2.0317580755740625,15.879396984924623,0.8533375,continuum
1.0,R,103,0.4194806240837866,2429.356783919598,340.1256281407035,234.4572864321608,184.79396984924622,2.027181593243503,16.020100502512562,0.8524825,continuum
1.0,R,104,0.14274236742159252,2412.1363636363635,343.1868686868687,234.37373737373738,185.5252525252525,2.037420767368006,15.702020202020202,0.8536425,continuum
1.0,X,100,0.214786792059003,2423.1269035532996,343.2690355329949,233.9238578680203,184.72081218274113,2.0307226084605494,15.928934010152284,0.84222,continuum
