heldout,min_chain_len,n_targets,null_gap,seed,status,truth
0.03,28.0,44.0,0.24875,0,ok,0.12526205450733752
0.04625,29.0,44.0,0.10625,1,ok,0.16078947368421054
0.03625,30.0,44.0,0.22999999999999998,2,ok,0.12899828879820982
0.05875,28.0,44.0,0.17375000000000002,3,ok,0.10886408404464872
0.08375,30.0,44.0,0.22000000000000003,4,ok,0.20802005012531327
0.02625,29.0,44.0,0.28,5,ok,0.1436072459963245
0.05,28.0,44.0,0.3225,6,ok,0.16760729754560966
0.04875,29.0,44.0,0.20749999999999996,7,ok,0.16699462154007608
0.0325,30.0,44.0,0.24750000000000003,8,ok,0.1281916293761516
0.01625,27.0,44.0,0.24875000000000003,9,ok,0.10115303983228512
