status,n_targets,min_chain_len,heldout,null_gap,truth,R,n0,n1,n2,mm_dim,height,family,layer_count,moves,window,seed,gate_pass,stage,code_version
ok,44.0,25.0,0.1075,-0.0475,0.5201558720773986,172244.0,9472.0,3541.0,114.0,1.068222786702452,43.0,layered,25.0,20.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,27.0,0.13125,0.13375,0.3635876840696118,171190.0,3967.0,3671.0,2065.0,1.0779751465606013,79.0,layered,25.0,100.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.13,0.04874999999999999,0.33460626810639976,164660.0,2417.0,1760.0,1613.0,1.1390810925219128,98.0,layered,25.0,500.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.18875,-0.04874999999999999,0.3939845549383552,174770.0,7352.0,801.0,217.0,1.0449647839017007,49.0,layered,40.0,20.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.1275,0.06375,0.3019476158495635,172706.0,4382.0,2345.0,694.0,1.0639570605175965,78.0,layered,40.0,100.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.21,0.01125000000000001,0.3540732929079884,165502.0,2483.0,1722.0,1497.0,1.1311317036824011,101.0,layered,40.0,500.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,52.0,0.09375,0.07874999999999999,0.3150066401062417,173905.0,3665.0,1105.0,546.0,1.0529115152927648,91.0,layered,60.0,100.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.10375,0.08625000000000001,0.24489257941215237,165573.0,2349.0,1670.0,1500.0,1.1304623809550787,104.0,layered,60.0,500.0,60.0,100.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.1675,-0.04125000000000001,0.4722521551724138,172359.0,10241.0,2158.0,487.0,1.0671604629245053,37.0,layered,25.0,20.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,28.0,0.25,0.012500000000000011,0.4103691856590697,170947.0,4530.0,3995.0,1598.0,1.0802276837886353,74.0,layered,25.0,100.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.18,0.018750000000000017,0.368372582554927,164613.0,2483.0,1838.0,1536.0,1.1395254687843375,93.0,layered,25.0,500.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.07,0.0024999999999999883,0.42831565900013774,174747.0,7806.0,490.0,82.0,1.0451758513149159,48.0,layered,40.0,20.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.12875,0.0325,0.3619697577947277,172429.0,4931.0,1755.0,676.0,1.0665139966058925,79.0,layered,40.0,100.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.2,0.05499999999999999,0.23222499671441713,165497.0,2484.0,1784.0,1493.0,1.1311788448734426,99.0,layered,40.0,500.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,53.0,0.15375,0.03375,0.4288372093023256,173290.0,4045.0,978.0,491.0,1.058572608925819,85.0,layered,60.0,100.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.2725,-0.06875000000000003,0.38605263157894737,165660.0,2447.0,1746.0,1394.0,1.1296424340276507,105.0,layered,60.0,500.0,60.0,101.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.06375,-0.015,0.5326204656199242,172248.0,9546.0,3613.0,184.0,1.0681858306248033,41.0,layered,25.0,20.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,30.0,0.24375,0.017499999999999988,0.4534510433386838,171103.0,4719.0,3347.0,2149.0,1.0787814309147143,67.0,layered,25.0,100.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,44.0,0.09125,0.12375,0.2390011890606421,165007.0,2478.0,1783.0,1572.0,1.1358023925248926,97.0,layered,25.0,500.0,60.0,102.0,1.0,P6-B,d0d2220
ok,44.0,40.0,0.10625,0.09250000000000001,0.43257514216084486,174598.0,7541.0,883.0,47.0,1.0465435072716907,47.0,layered,40.0,20.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.17875,0.026249999999999996,0.40790176187933797,172637.0,5074.0,1721.0,678.0,1.0645938046223757,74.0,layered,40.0,100.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,42.0,0.1875,0.10375000000000001,0.27371059227014904,165277.0,2464.0,1809.0,1539.0,1.1332538129857608,95.0,layered,40.0,500.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,53.0,0.2225,-0.007500000000000007,0.37443166622091467,173730.0,4128.0,1047.0,469.0,1.0545214466673345,86.0,layered,60.0,100.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.16375,0.09499999999999997,0.31269799366420276,165448.0,2409.0,1698.0,1482.0,1.1316408688865884,99.0,layered,60.0,500.0,60.0,102.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.0675,0.03375,0.504899292324442,172226.0,10973.0,1964.0,246.0,1.0683890941288432,41.0,layered,25.0,20.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,26.0,0.14,0.06999999999999998,0.39564867042707497,170989.0,5445.0,3347.0,1737.0,1.0798382445434411,65.0,layered,25.0,100.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.19,0.014999999999999986,0.22661727741764784,164920.0,2382.0,1754.0,1546.0,1.1366240797117237,96.0,layered,25.0,500.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.03375,0.05374999999999999,0.37396351575456055,174742.0,7707.0,678.0,163.0,1.045221737205467,53.0,layered,40.0,20.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.20125,-0.04375000000000001,0.3545515846257586,172847.0,5058.0,1743.0,648.0,1.06265626224828,77.0,layered,40.0,100.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,44.0,0.20125,-0.035,0.39262012211308733,165498.0,2427.0,1843.0,1501.0,1.131169416574275,94.0,layered,40.0,500.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,54.0,0.1225,0.0875,0.3653564290473018,173788.0,3971.0,906.0,556.0,1.0539877861815903,87.0,layered,60.0,100.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,46.0,0.14875,0.08375000000000002,0.30149490673369495,165781.0,2429.0,1725.0,1466.0,1.1285024300490738,99.0,layered,60.0,500.0,60.0,103.0,0.0,P6-B,d0d2220
ok,44.0,25.0,0.0575,0.1225,0.4710252600297177,172174.0,10589.0,2154.0,405.0,1.0688695845040028,37.0,layered,25.0,20.0,60.0,104.0,0.0,P6-B,d0d2220
ok,44.0,27.0,0.13625,0.0625,0.41390460792239286,170958.0,4410.0,3741.0,1900.0,1.0801256832695625,69.0,layered,25.0,100.0,60.0,104.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.1,0.19375,0.37102100118874654,163945.0,2440.0,1894.0,1576.0,1.1458487544802756,98.0,layered,25.0,500.0,60.0,104.0,1.0,P6-B,d0d2220
ok,44.0,40.0,0.07375,0.12875000000000003,0.35286902003543685,174673.0,7932.0,454.0,157.0,1.045855023471196,46.0,layered,40.0,20.0,60.0,104.0,1.0,P6-B,d0d2220
ok,44.0,40.0,0.18625,-0.01874999999999999,0.3717452263319535,172447.0,4834.0,2006.0,659.0,1.06634778262071,77.0,layered,40.0,100.0,60.0,104.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.09,0.07625000000000001,0.27039534576226365,164358.0,2444.0,1833.0,1502.0,1.1419376469074543,98.0,layered,40.0,500.0,60.0,104.0,0.0,P6-B,d0d2220
ok,44.0,52.0,0.19125,0.0012500000000000011,0.3594919786096257,173442.0,3847.0,1143.0,494.0,1.0571725746340594,88.0,layered,60.0,100.0,60.0,104.0,0.0,P6-B,d0d2220
ok,44.0,41.0,0.095,0.15,0.2206231845788223,164693.0,2456.0,1824.0,1433.0,1.1387691247043685,101.0,layered,60.0,500.0,60.0,104.0,1.0,P6-B,d0d2220
ok,44.0,25.0,0.025,0.03125,0.49262536873156343,172576.0,9631.0,3037.0,445.0,1.0651568238653555,44.0,layered,25.0,20.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,29.0,0.185,0.05374999999999999,0.46750133191262655,171366.0,4230.0,3838.0,1854.0,1.0763446527867537,75.0,layered,25.0,100.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,43.0,0.1975,-0.0062500000000000056,0.38724133386055093,164454.0,2492.0,1907.0,1660.0,1.1410292944515632,89.0,layered,25.0,500.0,60.0,105.0,0.0,P6-B,d0d2220
ok,44.0,40.0,0.125,-0.0025000000000000022,0.4361731458505652,174963.0,7214.0,1082.0,149.0,1.0431941492774932,52.0,layered,40.0,20.0,60.0,105.0,0.0,P6-B,d0d2220
