source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,epsilon,label,status,heldout,truth,instrument_margin,achieved_density
P1,epsilon=0,p1_scene,300.0,617581.0,7209.0,6315.0,6014.0,1.829859513037694,118.0,ba90aa8,0.0,1.0,ok,0.021,0.09367755532139094,0.3754829645240604,0.5680943050841222
P1,epsilon=0.15,p1_scene,300.0,637506.0,5963.0,7018.0,7056.0,1.7865325102375182,114.0,ba90aa8,0.15,1.0,ok,0.014,0.12012644889357219,0.1991570073761854,0.5864227171123437
P1,epsilon=0.3,p1_scene,300.0,626578.0,5032.0,7023.0,7712.0,1.8101556237084129,112.0,ba90aa8,0.3,,ok,0.036,0.17776606954689148,-0.1851071303126099,0.5763703765028378
P1,epsilon=0.45,p1_scene,300.0,609201.0,4140.0,6371.0,7753.0,1.8484261611511643,106.0,ba90aa8,0.45,,ok,0.012,0.23009596119371506,-0.5339730746247672,0.5603857935259542
P1,epsilon=0.6,p1_scene,300.0,602505.0,3568.0,5791.0,7536.0,1.8634143317680367,104.0,ba90aa8,0.6,,ok,0.047,0.33812107671028835,-1.2541405114019224,0.5542263432403345
P1,epsilon=0.75,p1_scene,300.0,620309.0,3432.0,5610.0,7507.0,1.823860241079891,104.0,ba90aa8,0.75,,ok,0.152,0.4659235668789809,-2.1061571125265397,0.5706037107560412
P1,epsilon=0.9,p1_scene,300.0,620146.0,3639.0,5724.0,7433.0,1.824218090867471,101.0,ba90aa8,0.9,0.0,ok,0.2,0.5117869922121658,-3.0000000000000004,0.5704537719274039
P1,epsilon=1,p1_scene,300.0,633305.0,3839.0,6068.0,7604.0,1.7955743488431608,99.0,ba90aa8,1.0,0.0,ok,0.255,0.49378292939936774,-4.1,0.582558342762002
P1,epsilon=0,p1_scene,301.0,614241.0,7316.0,6267.0,6058.0,1.8372344895947936,118.0,ba90aa8,0.0,1.0,ok,0.02,0.09678100263852243,0.35479331574318373,0.565021938902227
P1,epsilon=0.15,p1_scene,301.0,624597.0,6175.0,7164.0,7078.0,1.8144740488565354,116.0,ba90aa8,0.15,1.0,ok,0.022,0.12063324538258575,0.19577836411609495,0.5745481138063305
P1,epsilon=0.3,p1_scene,301.0,629172.0,5042.0,7016.0,7620.0,1.8045178130761643,112.0,ba90aa8,0.3,,ok,0.027,0.16889684964703403,-0.12597899764689355,0.5787565195794354
P1,epsilon=0.45,p1_scene,301.0,634201.0,4074.0,6424.0,7899.0,1.793641780834732,106.0,ba90aa8,0.45,,ok,0.035,0.22765171503957785,-0.5176781002638524,0.5833825463844505
P1,epsilon=0.6,p1_scene,301.0,596106.0,3444.0,5564.0,7226.0,1.8778675849742683,104.0,ba90aa8,0.6,,ok,0.057,0.29639830508474574,-0.9759887005649717,0.5483400943786737
P1,epsilon=0.75,p1_scene,301.0,602765.0,3384.0,5549.0,7356.0,1.8628297804984753,103.0,ba90aa8,0.75,,ok,0.197,0.4066574790628644,-2.9400000000000004,0.5544655094700628
P1,epsilon=0.9,p1_scene,301.0,623028.0,3555.0,5753.0,7462.0,1.8179023373137788,100.0,ba90aa8,0.9,0.0,ok,0.248,0.4862326574172892,-3.96,0.5731048375969313
