source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,p,label,status,heldout,null_gap,instrument_margin
P3,p=0.006,p3_n1500,100.0,212781.0,5457.0,12097.0,18692.0,3.231928016344227,20.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,101.0,195450.0,5487.0,11878.0,17644.0,3.3355383669095264,22.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,102.0,246592.0,5410.0,11417.0,16971.0,3.0509006142794846,23.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,103.0,232951.0,5350.0,11309.0,16834.0,3.120942586286631,24.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,104.0,232790.0,5535.0,11931.0,17921.0,3.1217920594469497,25.0,ba90aa8,0.006,0.0,structural_block: only 1 chains,,,-5.0
P3,p=0.006,p3_n1500,105.0,200691.0,5427.0,11899.0,17928.0,3.3033175860573554,20.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,106.0,201273.0,5592.0,12371.0,18709.0,3.299788860968441,23.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,107.0,218481.0,5469.0,11643.0,17414.0,3.199590876174865,26.0,ba90aa8,0.006,0.0,structural_block: only 1 chains,,,-5.0
P3,p=0.006,p3_n1500,108.0,202903.0,5455.0,11775.0,17528.0,3.289957185534128,23.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,109.0,226106.0,5330.0,11297.0,16610.0,3.1575555320760547,24.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,110.0,212058.0,5461.0,12013.0,18662.0,3.236088045673302,22.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,111.0,231151.0,5557.0,12134.0,18168.0,3.1304713943228357,23.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,112.0,223115.0,5402.0,11665.0,17837.0,3.173882769113746,23.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,113.0,219992.0,5455.0,11707.0,17429.0,3.19115223558299,24.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,114.0,204396.0,5555.0,12147.0,18300.0,3.281017240250481,23.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,115.0,219400.0,5491.0,11878.0,17573.0,3.1944519062294106,24.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,116.0,207826.0,5365.0,11738.0,17776.0,3.260710538632704,22.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,117.0,221738.0,5415.0,11711.0,17563.0,3.181468984155055,24.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.006,p3_n1500,118.0,230697.0,5408.0,11347.0,17036.0,3.132885795632202,25.0,ba90aa8,0.006,0.0,structural_block: only 1 chains,,,-5.0
P3,p=0.006,p3_n1500,119.0,215652.0,5522.0,12163.0,18464.0,3.2155394396312325,24.0,ba90aa8,0.006,0.0,structural_block: only 0 chains,,,-5.0
P3,p=0.008,p3_n1500,100.0,378942.0,5977.0,13588.0,21182.0,2.513032546190817,27.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,101.0,355747.0,6061.0,13599.0,20359.0,2.5932542484504273,26.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,102.0,408344.0,5867.0,12867.0,19577.0,2.4175163991613395,32.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,103.0,384576.0,5954.0,13288.0,20101.0,2.4942222185057545,29.0,ba90aa8,0.008,0.0,structural_block: only 4 chains,,,-5.0
P3,p=0.008,p3_n1500,104.0,384517.0,6101.0,13781.0,21303.0,2.494417904343134,27.0,ba90aa8,0.008,0.0,structural_block: only 3 chains,,,-5.0
P3,p=0.008,p3_n1500,105.0,361918.0,6032.0,13689.0,20869.0,2.571456395078176,26.0,ba90aa8,0.008,0.0,structural_block: only 1 chains,,,-5.0
P3,p=0.008,p3_n1500,106.0,380624.0,6004.0,13232.0,19939.0,2.5073904055682403,31.0,ba90aa8,0.008,0.0,structural_block: only 4 chains,,,-5.0
P3,p=0.008,p3_n1500,107.0,391936.0,5879.0,12784.0,19086.0,2.470021962075595,32.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,108.0,360685.0,6020.0,13503.0,20331.0,2.575784467703823,27.0,ba90aa8,0.008,0.0,structural_block: only 3 chains,,,-5.0
P3,p=0.008,p3_n1500,109.0,398840.0,5744.0,12335.0,18149.0,2.447691875815522,34.0,ba90aa8,0.008,0.0,structural_block: only 3 chains,,,-5.0
P3,p=0.008,p3_n1500,110.0,374781.0,6029.0,13789.0,21281.0,2.5270886217695967,29.0,ba90aa8,0.008,0.0,structural_block: only 3 chains,,,-5.0
P3,p=0.008,p3_n1500,111.0,387639.0,6098.0,13655.0,20466.0,2.4841003168019986,30.0,ba90aa8,0.008,0.0,structural_block: only 5 chains,,,-5.0
P3,p=0.008,p3_n1500,112.0,380048.0,5966.0,13404.0,20595.0,2.5093200013808676,32.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,113.0,378510.0,6045.0,13610.0,20552.0,2.5144853259095656,32.0,ba90aa8,0.008,0.0,structural_block: only 4 chains,,,-5.0
P3,p=0.008,p3_n1500,114.0,359091.0,6185.0,14156.0,21688.0,2.581399770675361,28.0,ba90aa8,0.008,0.0,structural_block: only 3 chains,,,-5.0
P3,p=0.008,p3_n1500,115.0,379116.0,6037.0,13674.0,20900.0,2.5124478235227343,33.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,116.0,368831.0,5944.0,13451.0,20382.0,2.5474365006454676,27.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,117.0,375246.0,6058.0,13779.0,21451.0,2.525510810738556,27.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,118.0,382997.0,5988.0,13245.0,20324.0,2.499468709127349,30.0,ba90aa8,0.008,0.0,structural_block: only 2 chains,,,-5.0
P3,p=0.008,p3_n1500,119.0,385947.0,6002.0,13572.0,20752.0,2.4896826550034206,28.0,ba90aa8,0.008,0.0,structural_block: only 4 chains,,,-5.0
P3,p=0.01,p3_n1500,100.0,508641.0,6188.0,14240.0,21694.0,2.1323784916686606,33.0,ba90aa8,0.01,0.0,ok,0.2675,-0.02125000000000002,-1.675
