source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version
reference,p1_scene,p1_scene,0.0,625597.0,7237.0,6283.0,6040.0,1.812292723751701,113.0,ba90aa8
reference,p1_scene,p1_scene,1.0,614165.0,7260.0,6223.0,5958.0,1.8374026882355325,117.0,ba90aa8
reference,p1_scene,p1_scene,2.0,641378.0,7063.0,6136.0,5948.0,1.7782417255529746,119.0,ba90aa8
reference,p1_scene,p1_scene,3.0,627246.0,7352.0,6264.0,6077.0,1.8087019623746134,113.0,ba90aa8
reference,p1_scene,p1_scene,4.0,611163.0,7355.0,6372.0,6000.0,1.8440603328596366,121.0,ba90aa8
reference,p1_scene,p1_scene,5.0,620677.0,7394.0,6238.0,6009.0,1.8230526194094896,118.0,ba90aa8
reference,p1_scene,p1_scene,6.0,618710.0,7459.0,6410.0,6015.0,1.8273740334489643,114.0,ba90aa8
reference,p1_scene,p1_scene,7.0,618079.0,7197.0,6255.0,5971.0,1.828762710916517,116.0,ba90aa8
reference,p1_scene,p1_scene,8.0,593196.0,7337.0,6249.0,6015.0,1.8844831144792593,112.0,ba90aa8
reference,p1_scene,p1_scene,9.0,610288.0,7252.0,6251.0,6009.0,1.8460059414132983,115.0,ba90aa8
reference,p1_scene,p1_scene,10.0,602585.0,7304.0,6218.0,6058.0,1.8632344475216946,116.0,ba90aa8
reference,p1_scene,p1_scene,11.0,617557.0,7164.0,6354.0,5941.0,1.82991238938515,118.0,ba90aa8
reference,p1_scene,p1_scene,12.0,613324.0,7301.0,6289.0,6095.0,1.8392650877150745,116.0,ba90aa8
reference,p1_scene,p1_scene,13.0,629118.0,7341.0,6371.0,5947.0,1.804634982516422,119.0,ba90aa8
reference,p1_scene,p1_scene,14.0,634217.0,7283.0,6260.0,5945.0,1.7936072909783265,119.0,ba90aa8
reference,p1_scene,p1_scene,15.0,617237.0,7353.0,6189.0,6005.0,1.8306175693068463,115.0,ba90aa8
reference,p1_scene,p1_scene,16.0,620085.0,7190.0,6301.0,6047.0,1.8243520300274234,117.0,ba90aa8
