source,condition,reference_group,seed,R,n0,n1,n2,mm_dim,height,code_version,epsilon,label,status,heldout,truth,instrument_margin,achieved_density,mm_distance,abundance_distance,height_distance,p,null_gap,layer_count,moves,beta,sample,acceptance,S
P1,epsilon=0,p1_scene,300.0,617581.0,7209.0,6315.0,6014.0,1.829859513037694,118.0,ba90aa8,0.0,1.0,ok,0.021,0.09367755532139094,0.3754829645240604,0.5680943050841222,0.17131199073748427,0.6134797548955776,0.5946921566920385,,,,,,,,
P1,epsilon=0.15,p1_scene,300.0,637506.0,5963.0,7018.0,7056.0,1.7865325102375182,114.0,ba90aa8,0.15,1.0,ok,0.014,0.12012644889357219,0.1991570073761854,0.5864227171123437,1.3886494750978489,15.32250144617342,1.0361193235062867,,,,,,,,
P1,epsilon=0.3,p1_scene,300.0,626578.0,5032.0,7023.0,7712.0,1.8101556237084129,112.0,ba90aa8,0.3,,ok,0.036,0.17776606954689148,-0.1851071303126099,0.5763703765028378,0.5381141429492401,24.61314461691149,1.8729230545506004,,,,,,,,
P1,epsilon=0.45,p1_scene,300.0,609201.0,4140.0,6371.0,7753.0,1.8484261611511643,106.0,ba90aa8,0.45,,ok,0.012,0.23009596119371506,-0.5339730746247672,0.5603857935259542,0.8397924702277588,31.37633999475518,4.475200516085576,,,,,,,,
P1,epsilon=0.6,p1_scene,300.0,602505.0,3568.0,5791.0,7536.0,1.8634143317680367,104.0,ba90aa8,0.6,,ok,0.047,0.33812107671028835,-1.2541405114019224,0.5542263432403345,1.3794321197442379,36.91120674852806,5.375162861668101,,,,,,,,
P1,epsilon=0.75,p1_scene,300.0,620309.0,3432.0,5610.0,7507.0,1.823860241079891,104.0,ba90aa8,0.75,,ok,0.152,0.4659235668789809,-2.1061571125265397,0.5706037107560412,0.04468802016567614,38.70242218072509,5.375162861668101,,,,,,,,
P1,epsilon=0.9,p1_scene,300.0,620146.0,3639.0,5724.0,7433.0,1.824218090867471,101.0,ba90aa8,0.9,0.0,ok,0.2,0.5117869922121658,-3.0000000000000004,0.5704537719274039,0.031803863794261276,35.79013244298635,6.757769501198368,,,,,,,,
P1,epsilon=1,p1_scene,300.0,633305.0,3839.0,6068.0,7604.0,1.7955743488431608,99.0,ba90aa8,1.0,0.0,ok,0.255,0.49378292939936774,-4.1,0.582558342762002,1.0631037670285277,33.86275302070993,7.702287281358703,,,,,,,,
P1,epsilon=0,p1_scene,301.0,614241.0,7316.0,6267.0,6058.0,1.8372344895947936,118.0,ba90aa8,0.0,1.0,ok,0.02,0.09678100263852243,0.35479331574318373,0.565021938902227,0.4368433798708141,0.5360518360418085,0.5946921566920385,,,,,,,,
P1,epsilon=0.15,p1_scene,301.0,624597.0,6175.0,7164.0,7078.0,1.8144740488565354,116.0,ba90aa8,0.15,1.0,ok,0.022,0.12063324538258575,0.19577836411609495,0.5745481138063305,0.3826319635048301,15.005073888207933,0.21374396412070126,,,,,,,,
P1,epsilon=0.3,p1_scene,301.0,629172.0,5042.0,7016.0,7620.0,1.8045178130761643,112.0,ba90aa8,0.3,,ok,0.027,0.16889684964703403,-0.12597899764689355,0.5787565195794354,0.7410999663293147,24.015998945006213,1.8729230545506004,,,,,,,,
P1,epsilon=0.45,p1_scene,301.0,634201.0,4074.0,6424.0,7899.0,1.793641780834732,106.0,ba90aa8,0.45,,ok,0.035,0.22765171503957785,-0.5176781002638524,0.5833825463844505,1.132684661815065,32.68718437051703,4.475200516085576,,,,,,,,
P1,epsilon=0.6,p1_scene,301.0,596106.0,3444.0,5564.0,7226.0,1.8778675849742683,104.0,ba90aa8,0.6,,ok,0.057,0.29639830508474574,-0.9759887005649717,0.5483400943786737,1.8998124045672349,37.747644549540496,5.375162861668101,,,,,,,,
P1,epsilon=0.75,p1_scene,301.0,602765.0,3384.0,5549.0,7356.0,1.8628297804984753,103.0,ba90aa8,0.75,,ok,0.197,0.4066574790628644,-2.9400000000000004,0.5544655094700628,1.3583857191998336,38.92489798766606,5.831593036106201,,,,,,,,
P1,epsilon=0.9,p1_scene,301.0,623028.0,3555.0,5753.0,7462.0,1.8179023373137788,100.0,ba90aa8,0.9,0.0,ok,0.248,0.4862326574172892,-3.96,0.5731048375969313,0.2591985953641174,36.8543307209165,7.227690437781865,,,,,,,,
P1,epsilon=1,p1_scene,301.0,618278.0,3640.0,5687.0,7146.0,1.8283246342491926,99.0,ba90aa8,1.0,0.0,ok,0.183,0.48929142248268515,-2.66,0.568735454553817,0.11604964600911624,34.902183823659335,7.702287281358703,,,,,,,,
P1,epsilon=0,p1_scene,302.0,623147.0,7234.0,6323.0,5980.0,1.8176420720030064,114.0,ba90aa8,0.0,1.0,ok,0.028,0.09922138047138047,0.3385241301907968,0.5732143021405377,0.2685692840676743,0.6394826541794594,1.0361193235062867,,,,,,,,
P1,epsilon=0.15,p1_scene,302.0,644268.0,6011.0,6967.0,7010.0,1.7720801314058132,112.0,ba90aa8,0.15,1.0,ok,0.041,0.11963383838383838,0.18000000000000002,0.5926428788255098,1.9089982786163477,14.646158275653038,1.8729230545506004,,,,,,,,
P1,epsilon=0.3,p1_scene,302.0,627244.0,5001.0,7012.0,7657.0,1.8087063127580585,110.0,ba90aa8,0.3,,ok,0.023,0.14414983164983164,0.039001122334455705,0.5769830099989881,0.5902956715214602,24.49128598468059,2.7246704966115702,,,,,,,,
P1,epsilon=0.45,p1_scene,302.0,639688.0,4074.0,6371.0,7812.0,1.7818553493017983,108.0,ba90aa8,0.45,,ok,0.044,0.20517676767676768,-0.3678451178451179,0.5884298737018333,1.5570477107866507,32.27972084011978,3.5919051014832055,,,,,,,,
P1,epsilon=0.6,p1_scene,302.0,603895.0,3480.0,5675.0,7472.0,1.8602916612810327,103.0,ba90aa8,0.6,,ok,0.107,0.2674406332453826,-1.14,0.5555049626992669,1.2670023342662606,37.90022944327738,5.831593036106201,,,,,,,,
P1,epsilon=0.75,p1_scene,302.0,636078.0,3552.0,5854.0,7740.0,1.7896005305737361,100.0,ba90aa8,0.75,,ok,0.292,0.5124158249158249,-4.84,0.5851091425890664,1.2781873339021588,37.7784442251929,7.227690437781865,,,,,,,,
P1,epsilon=0.9,p1_scene,302.0,635589.0,3711.0,6087.0,7756.0,1.790652426440516,99.0,ba90aa8,0.9,0.0,ok,0.284,0.4851569126378287,-4.68,0.5846593261031542,1.240314485281269,35.864403099436636,7.702287281358703,,,,,,,,
P1,epsilon=1,p1_scene,302.0,613474.0,3864.0,6221.0,7657.0,1.83893275729797,100.0,ba90aa8,1.0,0.0,ok,0.315,0.5094299863028132,-5.3,0.5643163985245283,0.4979884396351815,33.760392809362685,7.227690437781865,,,,,,,,
P1,epsilon=0,p1_scene,303.0,616770.0,7412.0,6211.0,5992.0,1.8316472324918016,114.0,ba90aa8,0.0,1.0,ok,0.024,0.08889825152728038,0.4073449898181308,0.5673482904213925,0.23567770449326542,0.9862170120628498,1.0361193235062867,,,,,,,,
P1,epsilon=0.15,p1_scene,303.0,628648.0,6141.0,7006.0,6923.0,1.8056551388204811,109.0,ba90aa8,0.15,1.0,ok,0.02,0.10469770381293449,0.30201530791377007,0.5782745076395213,0.7001512687372096,13.596454502010197,3.156316784159377,,,,,,,,
P1,epsilon=0.3,p1_scene,303.0,621134.0,5156.0,7080.0,7625.0,1.8220502246794297,109.0,ba90aa8,0.3,,ok,0.032,0.15009479671371392,-0.000631978091426196,0.5713626036003716,0.10985652144123978,23.428200978224705,3.156316784159377,,,,,,,,
P1,epsilon=0.45,p1_scene,303.0,621948.0,4181.0,6405.0,7648.0,1.820266279867568,105.0,ba90aa8,0.45,,ok,0.04,0.18804324782700868,-0.25362165218005794,0.5721113778734442,0.17408633157871523,30.521098034749176,4.9230591046892735,,,,,,,,
P1,epsilon=0.6,p1_scene,303.0,621299.0,3552.0,5767.0,7589.0,1.8216884588659972,104.0,ba90aa8,0.6,,ok,0.057,0.2778313511196828,-0.8522090074645522,0.5715143821692377,0.12288167185872927,37.31540457849677,5.375162861668101,,,,,,,,
P1,epsilon=0.75,p1_scene,303.0,608232.0,3493.0,5717.0,7568.0,1.8505866687902692,101.0,ba90aa8,0.75,,ok,0.162,0.4793742633665488,-2.2399999999999998,0.5594944393851589,0.9175801879517475,38.01229682560038,6.757769501198368,,,,,,,,
P1,epsilon=0.9,p1_scene,303.0,625352.0,3577.0,5654.0,7210.0,1.8128268834321668,102.0,ba90aa8,0.9,0.0,ok,0.189,0.5041339834640661,-2.7800000000000002,0.5752426157426571,0.44193711788446555,35.90566662060225,6.292433232205904,,,,,,,,
P1,epsilon=1,p1_scene,303.0,609417.0,3679.0,5720.0,7220.0,1.847944949863658,101.0,ba90aa8,1.0,0.0,ok,0.247,0.5005299978800085,-3.94,0.5605844854706515,0.8224667606951381,34.61950518744386,6.757769501198368,,,,,,,,
P1,epsilon=0,p1_scene,304.0,609877.0,7287.0,6237.0,6063.0,1.8469206184394444,114.0,ba90aa8,0.0,1.0,ok,0.02,0.10110352075669994,0.325976528288667,0.5610076257232479,0.7855863524798052,0.6422960050200235,1.0361193235062867,,,,,,,,
P1,epsilon=0.15,p1_scene,304.0,618636.0,6153.0,6913.0,6962.0,1.8275368290151448,111.0,ba90aa8,0.15,1.0,ok,0.045,0.12485549132947976,0.10000000000000009,0.5690647680547507,0.08768521440128531,13.511181355104886,2.2968955283505696,,,,,,,,
P1,epsilon=0.3,p1_scene,304.0,623269.0,5109.0,6979.0,7569.0,1.8173752877956337,109.0,ba90aa8,0.3,,ok,0.045,0.1488176563321072,0.007882291119285328,0.5733265262944872,0.27817468154033625,23.214580650605072,3.156316784159377,,,,,,,,
P1,epsilon=0.45,p1_scene,304.0,613778.0,4117.0,6296.0,7545.0,1.8382594401762198,108.0,ba90aa8,0.45,,ok,0.049,0.18192327903310562,-0.2128218602207042,0.5645960390392877,0.47374608045189,30.68060618901881,3.5919051014832055,,,,,,,,
P1,epsilon=0.6,p1_scene,304.0,609566.0,3554.0,5748.0,7491.0,1.847613085487028,106.0,ba90aa8,0.6,,ok,0.117,0.26967592592592593,-1.34,0.5607215461176882,0.8105181926897828,36.971070273380995,4.475200516085576,,,,,,,,
P1,epsilon=0.75,p1_scene,304.0,613703.0,3428.0,5568.0,7422.0,1.838425528991733,103.0,ba90aa8,0.75,,ok,0.219,0.43667937314697164,-3.3799999999999994,0.5645270487807121,0.4797260037182622,38.54093701314232,5.831593036106201,,,,,,,,
P1,epsilon=0.9,p1_scene,304.0,595222.0,3482.0,5446.0,7050.0,1.879874397507765,100.0,ba90aa8,0.9,0.0,ok,0.254,0.5066978524346162,-4.08,0.5475269291975973,1.9720664267493893,36.99013075479115,7.227690437781865,,,,,,,,
P1,epsilon=1,p1_scene,304.0,604776.0,3743.0,5837.0,7355.0,1.8583155609683075,101.0,ba90aa8,1.0,0.0,ok,0.291,0.49591858369553693,-4.819999999999999,0.5563153682700003,1.195854086262732,34.18375222270638,6.757769501198368,,,,,,,,
P1,epsilon=0,p1_scene,305.0,611540.0,7272.0,6329.0,6030.0,1.8432227637820109,113.0,ba90aa8,0.0,1.0,ok,0.023,0.09838133277275594,0.344124448181627,0.5625373697233951,0.6524474229660228,0.506073398658809,1.4526860695920725,,,,,,,,
P1,epsilon=0.15,p1_scene,305.0,622185.0,6067.0,7041.0,7099.0,1.8197472368407572,113.0,ba90aa8,0.15,1.0,ok,0.035,0.12728610468782847,0.15142596874781017,0.5723293870905428,0.1927741490737202,15.192289278282443,1.4526860695920725,,,,,,,,
P1,epsilon=0.3,p1_scene,305.0,629262.0,5042.0,7072.0,7881.0,1.8043225489868933,111.0,ba90aa8,0.3,,ok,0.035,0.1559806600798823,-0.03987106719921529,0.5788393078897259,0.7481303269644394,25.607873528037793,2.2968955283505696,,,,,,,,
