beta,chain,start,proposal_seed,sample,acceptance,phase,code_version,R,n0,n1,n2,mm_dim,height,S
18.0,0,random,918000,0,0.824365,continuum,644e87b,85595.0,2994.0,2474.0,2132.0,2.0644617904179334,41.0,1.3455329896766202
18.0,0,random,918000,1,0.824365,continuum,644e87b,86173.0,3143.0,2493.0,2111.0,2.0555458426637054,41.0,0.7232361885953935
18.0,0,random,918000,2,0.824365,continuum,644e87b,82345.0,3172.0,2489.0,2144.0,2.115586019465466,41.0,0.627058268590833
18.0,0,random,918000,3,0.824365,continuum,644e87b,82826.0,2880.0,2355.0,2217.0,2.1079105709440027,44.0,1.0791483586370454
18.0,0,random,918000,4,0.824365,continuum,644e87b,87437.0,3134.0,2545.0,2211.0,2.0362260035445914,42.0,0.9128487805055272
18.0,0,random,918000,5,0.824365,continuum,644e87b,84771.0,3037.0,2482.0,2158.0,2.0772626501664675,43.0,0.8143870243987905
18.0,0,random,918000,6,0.824365,continuum,644e87b,86249.0,2965.0,2412.0,2080.0,2.0543773398394283,43.0,1.2431520062757926
18.0,0,random,918000,7,0.824365,continuum,644e87b,81307.0,3064.0,2470.0,2135.0,2.132283428728816,43.0,0.778920124229554
18.0,0,random,918000,8,0.824365,continuum,644e87b,83785.0,3067.0,2510.0,2037.0,2.092722307752072,45.0,0.9870519316417372
18.0,0,random,918000,9,0.824365,continuum,644e87b,81020.0,3169.0,2404.0,2072.0,2.1369329016475325,39.0,0.8325871306705466
18.0,0,random,918000,10,0.824365,continuum,644e87b,85713.0,2988.0,2371.0,2144.0,2.0626373720399123,43.0,1.3341748656049255
18.0,0,random,918000,11,0.824365,continuum,644e87b,85625.0,3208.0,2412.0,2189.0,2.0639977496903015,42.0,1.0763431677395268
18.0,0,random,918000,12,0.824365,continuum,644e87b,86850.0,3163.0,2530.0,2113.0,2.045168032534373,41.0,0.8566417662108137
18.0,0,random,918000,13,0.824365,continuum,644e87b,84062.0,3141.0,2469.0,2139.0,2.0883633426522987,39.0,0.5867239743011652
18.0,0,random,918000,14,0.824365,continuum,644e87b,82681.0,3194.0,2383.0,2151.0,2.1102202896998,41.0,0.5642545755501587
18.0,0,random,918000,15,0.824365,continuum,644e87b,86740.0,3116.0,2406.0,2182.0,2.04684948794727,46.0,1.044209259687534
18.0,0,random,918000,16,0.824365,continuum,644e87b,84771.0,3065.0,2531.0,2182.0,2.0772626501664675,41.0,0.7060318083990644
18.0,0,random,918000,17,0.824365,continuum,644e87b,83014.0,3130.0,2390.0,2138.0,2.104921122286303,42.0,0.9347245175061083
18.0,0,random,918000,18,0.824365,continuum,644e87b,83566.0,3111.0,2419.0,2217.0,2.096177411021526,41.0,0.8296533640998405
18.0,0,random,918000,19,0.824365,continuum,644e87b,84150.0,3082.0,2359.0,2169.0,2.0869811482262923,39.0,0.9203128478187779
18.0,0,random,918000,20,0.824365,continuum,644e87b,83475.0,3020.0,2399.0,2118.0,2.0976154015512734,43.0,1.1096105306201984
18.0,0,random,918000,21,0.824365,continuum,644e87b,80359.0,3088.0,2544.0,2132.0,2.1476961499640232,39.0,0.6141191946441467
18.0,0,random,918000,22,0.824365,continuum,644e87b,83881.0,3127.0,2494.0,2132.0,2.091210208149648,37.0,0.7903717650513364
18.0,0,random,918000,23,0.824365,continuum,644e87b,87347.0,3080.0,2482.0,2203.0,2.037593658921093,42.0,0.8849869985132308
18.0,0,random,918000,24,0.824365,continuum,644e87b,88525.0,3096.0,2470.0,2236.0,2.0197874148475154,38.0,1.13371791122875
18.0,0,random,918000,25,0.824365,continuum,644e87b,87235.0,2989.0,2450.0,2219.0,2.0392973213867327,41.0,1.175717721094749
18.0,0,random,918000,26,0.824365,continuum,644e87b,83598.0,3073.0,2400.0,2118.0,2.0956720665899518,40.0,0.6568422658661355
18.0,0,random,918000,27,0.824365,continuum,644e87b,83965.0,3075.0,2422.0,2129.0,2.089888350070873,39.0,0.9884265387433047
18.0,0,random,918000,28,0.824365,continuum,644e87b,84476.0,3067.0,2393.0,2140.0,2.081871622577311,41.0,1.1009851103932071
18.0,0,random,918000,29,0.824365,continuum,644e87b,81611.0,3091.0,2481.0,2086.0,2.127374120810746,40.0,1.165880626454804
18.0,0,random,918000,30,0.824365,continuum,644e87b,85382.0,3083.0,2416.0,2139.0,2.067760520240183,44.0,0.9792251379749395
18.0,0,random,918000,31,0.824365,continuum,644e87b,89806.0,3072.0,2479.0,2131.0,2.0006530765763806,47.0,1.3152405266149003
18.0,0,random,918000,32,0.824365,continuum,644e87b,84998.0,3233.0,2500.0,2093.0,2.073725513685341,39.0,1.0399959228997204
18.0,0,random,918000,33,0.824365,continuum,644e87b,84211.0,3046.0,2564.0,2195.0,2.0860237702287163,44.0,1.0964197329843905
18.0,0,random,918000,34,0.824365,continuum,644e87b,85171.0,3169.0,2483.0,2143.0,2.0710352858907797,45.0,0.4190144943267491
