beta,chain,start,phase,acceptance,n_samples,mean_G,n_G,source,mean_S,iat_S,ess_S,mean_n0,iat_n0,ess_n0,mean_height,iat_height,ess_height
12.0,0,random,continuum,0.8821433333333333,48,0.9625,3,P6-reuse,1.342664746524031,1.0,48.0,3050.3958333333335,1.0,48.0,42.375,1.1959280638506262,40.13619334715712
12.0,1,random,continuum,0.88246,48,1.0,3,P6-reuse,1.1842472194567353,1.1998934448208565,40.00355215472185,3044.0,1.0,48.0,42.0,1.0,48.0
12.0,2,bipartite,continuum,0.810019,48,0.9916666666666667,3,P6-reuse,1.2381058659702178,1.2775975365095187,37.570517027716875,3053.2291666666665,1.5299025540747995,31.37454726914143,41.958333333333336,1.0,48.0
14.0,0,random,continuum,0.8631906666666667,48,1.0,3,P7-new,1.0336732029984386,1.0,48.0,3075.5416666666665,1.0,48.0,41.833333333333336,1.0,48.0
14.0,1,random,continuum,0.863225,48,0.9833333333333334,3,P7-new,1.1286459889913698,1.0025636699175502,47.87725851261643,3052.75,1.6337991883460106,29.379375594251076,41.916666666666664,1.0,48.0
14.0,2,bipartite,continuum,0.653796,48,0.8083333333333332,3,P7-new,1.1450960282768656,1.0,48.0,3083.9166666666665,1.0,48.0,41.145833333333336,1.0,48.0
16.0,0,random,continuum,0.8444723333333334,47,0.9333333333333332,3,P6-reuse,0.990231385851376,1.0,47.0,3070.468085106383,2.4315471191471922,19.329257339863577,41.723404255319146,1.0,47.0
16.0,1,random,continuum,0.844449,48,0.975,3,P6-reuse,1.0046269545504922,1.0,48.0,3078.5833333333335,1.2461315360681002,38.51920813388101,41.0625,1.0,48.0
16.0,2,bipartite,continuum,0.19585166666666667,48,0.2625,3,P6-reuse,-25.67237554891814,20.49904811260648,2.341572142097711,4037.4791666666665,17.162198605811728,2.796844454634472,33.625,18.70972111780277,2.5655112493540484
18.0,0,random,continuum,0.824365,48,0.9708333333333333,3,P7-new,0.924178604876943,1.0,48.0,3092.1458333333335,1.0,48.0,41.6875,2.036881599875028,23.56543453627595
18.0,1,random,continuum,0.8241886666666667,48,0.9916666666666667,3,P7-new,0.8548255772068115,1.0,48.0,3087.1458333333335,1.0,48.0,40.854166666666664,1.0,48.0
18.0,2,bipartite,intermediate,0.026427666666666665,47,0.0,3,P7-new,-75.9102240020879,5.877572306921437,7.996498817148151,8996.08510638298,2.5048644158319506,18.76349063164351,18.914893617021278,7.438939539137081,6.318104852543541
20.0,0,random,continuum,0.803535,48,0.9874999999999999,3,P7-new,0.7673294200534189,1.0,48.0,3095.0833333333335,1.0,48.0,41.020833333333336,1.1279482304358261,42.55514455787865
20.0,1,random,continuum,0.8038616666666667,48,1.0,3,P7-new,0.7313893668418389,1.0,48.0,3093.6875,1.0,48.0,40.8125,1.4891676434287844,32.23277124762178
20.0,2,bipartite,intermediate,0.018349,48,0.0,3,P7-new,-85.51254648390805,3.244607940107054,14.793775052654365,11557.5,1.6580778952531479,28.949182747938135,15.270833333333334,3.222003496774869,14.897562975349526
22.0,0,random,continuum,0.7829233333333333,48,0.9958863944685135,3,P7-new,0.576726176525359,1.0,48.0,3096.0416666666665,1.3213270766353755,36.32711449630405,39.6875,1.3372061975999938,35.89573551644465
22.0,1,random,continuum,0.7834516666666667,48,0.9,3,P7-new,0.5969942808871292,1.0,48.0,3107.7708333333335,1.1679296607869123,41.09836543380463,40.208333333333336,1.135917901274762,42.25657500963135
22.0,2,bipartite,intermediate,0.014005,48,0.0,3,P7-new,-90.64865270370342,3.7897378375652884,12.665783771163847,13806.458333333334,3.9728755156560913,12.081929023661631,12.041666666666666,7.529074940746298,6.375285194762869
24.0,0,random,continuum,0.758436,48,1.0,3,P6-reuse,0.37480341242323784,1.0,48.0,3105.3958333333335,2.555913265837237,18.779979994460692,40.145833333333336,1.3058003664590787,36.759064580569046
24.0,1,random,continuum,0.756039,48,1.0,3,P6-reuse,0.4056211640553616,1.4594332722200076,32.88947902838004,3116.0833333333335,1.257657875758883,38.16618249302206,39.875,1.0,48.0
24.0,2,bipartite,intermediate,0.011607666666666667,48,0.0,3,P6-reuse,-95.48751769463321,2.077177027216868,23.108285606409485,16259.1875,2.6824024522522603,17.89440654578031,10.645833333333334,1.2805628260219373,37.4835182035635
28.0,0,random,intermediate,0.060838333333333335,48,0.0,3,P7-new,-69.24346227916772,12.075923634373082,3.974851237330792,12291.291666666666,3.5531977335550073,13.50895829598978,21.229166666666668,1.8842015210281204,25.47498208886311
28.0,1,random,intermediate,0.049724,48,0.0,3,P7-new,-69.3807945471521,13.703401046670907,3.5027800643447624,11871.041666666666,2.348454702285288,20.438972041185664,20.520833333333332,1.3736525992563826,34.9433328528512
28.0,2,bipartite,intermediate,0.008496666666666666,48,0.0,3,P7-new,-101.72824722518662,2.1136921374319977,22.70907818123266,21853.6875,2.744222378681081,17.491293844440406,8.541666666666666,1.2356646515930556,38.84549091706797
