source,condition,seed,status,heldout,null_gap,truth_error,G,score_kind,code_version,epsilon
P3,sprinkled,0.0,ok,0.035,0.20875,0.17104403501894683,1.0,exact,f2a6c1d,
P3,column_shuffle,0.0,heldout_upper_bound,0.24375,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,1.0,ok,0.04,0.18625,0.27352670954193464,0.8161832261451634,exact,f2a6c1d,
P3,column_shuffle,1.0,heldout_upper_bound,0.22625,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,2.0,ok,0.0225,0.26125,0.22193040052527904,0.9451739986868024,exact,f2a6c1d,
P3,column_shuffle,2.0,heldout_upper_bound,0.28375,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,3.0,ok,0.03125,0.24625000000000002,0.18592767295597484,1.0,exact,f2a6c1d,
P3,column_shuffle,3.0,heldout_upper_bound,0.2775,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,4.0,ok,0.065,0.23249999999999998,0.21865965834428383,0.8500000000000001,exact,f2a6c1d,
P3,column_shuffle,4.0,heldout_upper_bound,0.2975,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,5.0,ok,0.02375,0.2525,0.2185577803952362,0.9536055490119095,exact,f2a6c1d,
P3,column_shuffle,5.0,heldout_upper_bound,0.27625,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,6.0,ok,0.035,0.205,0.1587696335078534,1.0,exact,f2a6c1d,
P3,column_shuffle,6.0,heldout_upper_bound,0.24,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,7.0,ok,0.035,0.23750000000000002,0.13737558931377686,1.0,exact,f2a6c1d,
P3,column_shuffle,7.0,heldout_upper_bound,0.2725,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,8.0,ok,0.04375,0.285,0.18858267716535432,1.0,exact,f2a6c1d,
P3,column_shuffle,8.0,heldout_upper_bound,0.32875,,,0.0,upper_bound,f2a6c1d,
P3,sprinkled,9.0,ok,0.02875,0.2525,0.2211337513061651,0.9471656217345872,exact,f2a6c1d,
P3,column_shuffle,9.0,heldout_upper_bound,0.28125,,,0.0,upper_bound,f2a6c1d,
P5,uniform,0.0,ok,0.03,0.24875,0.12526205450733752,1.0,exact,f2a6c1d,
P5,uniform,1.0,ok,0.04625,0.10625,0.16078947368421054,0.5624999999999999,exact,f2a6c1d,
P5,uniform,2.0,ok,0.03625,0.22999999999999998,0.12899828879820982,1.0,exact,f2a6c1d,
P5,uniform,3.0,ok,0.05875,0.17375000000000002,0.10886408404464872,0.9125000000000001,exact,f2a6c1d,
P5,uniform,4.0,ok,0.08375,0.22000000000000003,0.20802005012531327,0.6625,exact,f2a6c1d,
P5,uniform,5.0,ok,0.02625,0.28,0.1436072459963245,1.0,exact,f2a6c1d,
P5,uniform,6.0,ok,0.05,0.3225,0.16760729754560966,1.0,exact,f2a6c1d,
P5,uniform,7.0,ok,0.04875,0.20749999999999996,0.16699462154007608,1.0,exact,f2a6c1d,
