stage,seed,chain_count,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,control_status,control_d3_heldout,d2_heldout,d2_truth,d3_heldout,d3_truth,d4_heldout,d4_truth
P8-A,100.0,12.0,9f6e495,f64d5c61569c50ea,8ad01e375df1cbf9,20dab7ea8ecea041,100.0,44.0,ok,ok,0.154,0.103,0.1584470094438615,0.069,0.1180482686253935,0.106,0.13095487932843652
P8-A,101.0,12.0,9f6e495,837a3e3c55439281,5045667f86bb4c46,6328cf5bde12f519,101.0,44.0,ok,ok,0.166,0.127,0.18500680557009738,0.058,0.1274212124384881,0.086,0.1138100722437441
P8-A,102.0,12.0,9f6e495,05fb0f83ae242e77,691fe01f22fc9a05,f62529ac9fb4b689,102.0,44.0,ok,ok,0.249,0.149,0.1949685534591195,0.087,0.12924528301886792,0.077,0.1269392033542977
P8-A,103.0,12.0,9f6e495,3cd6a260cc2cf10a,a85fad5a3f0acfbc,4c6853908fa552ce,103.0,44.0,ok,ok,0.218,0.125,0.19979013641133264,0.046,0.12088142707240294,0.083,0.12570828961175237
P8-A,104.0,12.0,9f6e495,f2efa96ffd97b124,37071271184bfd49,76f900cf8d7a2a97,104.0,44.0,ok,ok,0.2,0.118,0.172544080604534,0.053,0.12279596977329975,0.096,0.13287153652392947
P8-A,105.0,12.0,9f6e495,177dfe2f8193365e,c7c87dd85e6ceb48,e1e7457c0bacf069,105.0,44.0,ok,ok,0.122,0.1,0.1533060882322121,0.087,0.13591113905480456,0.068,0.12291732159698208
P8-A,106.0,12.0,9f6e495,a2e52b2a44005d92,7546c5b81e2b359d,6debc50d137d08ec,106.0,44.0,ok,ok,0.123,0.075,0.14666806151271053,0.053,0.12982529553300554,0.075,0.1260592112145622
P8-A,107.0,12.0,9f6e495,d1379523ef726f9c,296f3157a385cd68,71903f88b60e64fd,107.0,44.0,ok,ok,0.186,0.1,0.15996218884570948,0.072,0.1246717781745615,0.068,0.12288625144417603
P8-A,108.0,12.0,9f6e495,4ff9098baba729da,23300f2a4049dbbd,8075800a4fbfae50,108.0,44.0,ok,ok,0.198,0.117,0.16255899318300995,0.099,0.13141059255374934,0.091,0.13340325117986365
P8-A,109.0,12.0,9f6e495,4375ec219abc8b53,2901babb9d94de4d,39b19f17fdfe9311,109.0,44.0,ok,ok,0.146,0.128,0.16144957983193278,0.095,0.1314075630252101,0.064,0.12394957983193278
P8-A,110.0,12.0,9f6e495,d6ab0c71d453d5d2,67d430db06b1402e,648ad28cdc1086ec,110.0,44.0,ok,ok,0.169,0.134,0.1699517718599287,0.033,0.11260222268819459,0.073,0.12392535122667225
P8-A,111.0,12.0,9f6e495,1d37f1501ab79da8,ac11ef45168299b4,b85fea41ad45b90c,111.0,44.0,ok,ok,0.145,0.158,0.1840696820232973,0.08,0.13946898940077657,0.075,0.13317242103053836
P8-A,112.0,12.0,9f6e495,829366c7969804f3,1eb146ff9a5f4329,33c88a3848521c1e,112.0,44.0,ok,ok,0.191,0.14,0.19161175609245895,0.069,0.11410940278213576,0.078,0.1276017153017467
P8-A,113.0,12.0,9f6e495,13d4ada6298b2633,ba8e39b6c926326f,895f3cb1cf8064a1,113.0,44.0,ok,ok,0.095,0.142,0.17431000104942806,0.068,0.11165914576555777,0.08,0.1211039983209151
P8-A,114.0,12.0,9f6e495,7ba80a0c93fbd8d3,588888c8e9716456,60ad775a4cd37269,114.0,44.0,ok,ok,0.139,0.07,0.1328362910847422,0.077,0.1179250236270083,0.087,0.1298960411634989
P8-A,115.0,12.0,9f6e495,ff6e412e2f854b11,fd618d5f910989db,54a208575070e1e4,115.0,44.0,ok,ok,0.133,0.176,0.18835867855270058,0.07,0.12260094389092815,0.078,0.1263765076035658
P8-A,116.0,12.0,9f6e495,ccc1087d046c3975,ab78975f2ed15907,582d4d5a1f571c6e,116.0,44.0,ok,ok,0.161,0.178,0.19796794804650675,0.084,0.12674138472818686,0.055,0.12024719807269299
P8-A,117.0,12.0,9f6e495,e777ec9654823f7b,3e160f9bcaa4381a,b1db3ffcac515c44,117.0,44.0,ok,ok,0.153,0.109,0.16217632875563476,0.027,0.10965510011531607,0.066,0.12831533703742531
P8-A,118.0,12.0,9f6e495,d0396f62c4fec2c7,faf8169dfc416060,bb2bedfa53dd7daf,118.0,44.0,ok,ok,0.174,0.08,0.15643979057591623,0.048,0.11267015706806283,0.086,0.11445026178010471
P8-A,119.0,12.0,9f6e495,c645050ec9356307,1e1034f5a26340d8,f74d610ebed018a4,119.0,44.0,ok,ok,0.13,0.129,0.1889994761655317,0.061,0.13033001571503405,0.048,0.1248821372446307
