stage,seed,chain_count,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,status,control_status,control_d3_heldout,d2_heldout,d2_truth,d3_heldout,d3_truth,d4_heldout,d4_truth
P9,500.0,12.0,111dd7d,ca6a0bd425d13e23,38c596f9acbfbc47,1a610b0fc7b4cdc4,500.0,44.0,ok,ok,0.138,0.125,0.17107325739366705,0.071,0.11370049116940119,0.063,0.12937611035635907
P9,501.0,12.0,111dd7d,d29142fc4c50f9a1,c996d3600e233f13,e56a6904fc1c807e,501.0,44.0,ok,ok,0.176,0.116,0.17837328587878154,0.038,0.1148330367423846,0.089,0.12435884015492515
P9,502.0,12.0,111dd7d,33ac2e9817cd2fb1,f0cdfdc943ba2ae3,3433a8b97812d265,502.0,44.0,ok,ok,0.134,0.129,0.17319609284739,0.074,0.13055351328641948,0.131,0.1437874172881
P9,503.0,12.0,111dd7d,802411f9bcc741fc,fa9315b9d399c186,8b6298102fcb920e,503.0,44.0,ok,ok,0.193,0.152,0.17768465165007857,0.117,0.135358826610791,0.09,0.13326348873755894
P9,504.0,12.0,111dd7d,e63bd0dc6802df2e,7e1788e775ff96a6,0efdef0e1edfe51d,504.0,44.0,ok,ok,0.102,0.119,0.16505161154413314,0.067,0.12492100273857173,0.088,0.12513166210238044
P9,505.0,12.0,111dd7d,b377b5641c2ed464,b453a21bc6bd77df,42d1048bd27d3876,505.0,44.0,ok,ok,0.109,0.086,0.15628598346069297,0.048,0.11975295718622422,0.082,0.12886004396524653
P9,506.0,12.0,111dd7d,955758baadde3f67,50f2316eb66106a1,ad22e6e687dbfd6e,506.0,44.0,ok,ok,0.174,0.199,0.19827676788904067,0.076,0.12903225806451613,0.097,0.13848901964904908
P9,507.0,12.0,111dd7d,1e6b887ac95d9602,1e7833c577887942,2a8af7d9b76ca461,507.0,44.0,ok,ok,0.13,0.121,0.18241689316328663,0.091,0.13788417311310894,0.08,0.13046205310474598
P9,508.0,12.0,111dd7d,38dcb6bbda7dcecb,6eb210dbd7ecda75,f95d1c2b566dc71f,508.0,44.0,ok,ok,0.207,0.161,0.199327519176211,0.05,0.1359672165598403,0.096,0.13365556372806556
P9,509.0,12.0,111dd7d,31390b2f1dc1ee63,5b8972ac00695059,db38eb6af31b159e,509.0,44.0,ok,ok,0.213,0.08,0.15378962838547133,0.088,0.12439638883056897,0.112,0.1351039260969977
P9,510.0,12.0,111dd7d,6ed98625ed96a6a5,af3ca8d8d25e7be5,f9030b8c379af651,510.0,44.0,ok,ok,0.184,0.121,0.18698075507414028,0.076,0.1342938269008308,0.072,0.12808917867283626
P9,511.0,12.0,111dd7d,bce96985ce2dc0ae,c4fbcea83c15a8d6,60992300e08db81e,511.0,44.0,ok,ok,0.151,0.098,0.15339418738852167,0.075,0.14269226733815968,0.062,0.12454097156646732
P9,512.0,12.0,111dd7d,4b9970e779d25f1b,3c7f63d507332848,881f2e48ecbcceef,512.0,44.0,ok,ok,0.203,0.1,0.17886435331230283,0.041,0.1085173501577287,0.069,0.1231335436382755
P9,513.0,12.0,111dd7d,0b7b450ef78af71d,6666ff095e26c338,7954ab57a2cea340,513.0,44.0,ok,ok,0.167,0.142,0.1833855799373041,0.057,0.11556948798328108,0.12,0.14315569487983282
P9,514.0,12.0,111dd7d,2ba5b708edd97928,3cf4932dbb5a0eda,2960ab48276ee4db,514.0,44.0,ok,ok,0.204,0.146,0.18575010447137486,0.048,0.11596322607605516,0.069,0.11585875470121187
P9,515.0,12.0,111dd7d,29a913a3442cf4b5,cacb084d4860ec73,6e21a7f098f64a80,515.0,44.0,ok,ok,0.175,0.163,0.18707304256437204,0.082,0.12685233841303206,0.096,0.12853389385181294
P9,516.0,12.0,111dd7d,ce4a83ac8fbfc763,d77c9896bd0885dc,3b8c80a2e6cb4e38,516.0,44.0,ok,ok,0.197,0.088,0.158412731651136,0.042,0.12166265312532719,0.091,0.13694901057480893
P9,517.0,12.0,111dd7d,3305b2cdf64011d7,aa10987b205b1ef2,fd8af3f4aee01284,517.0,44.0,ok,ok,0.202,0.118,0.18576534903280068,0.044,0.12174095878889823,0.061,0.12111017661900757
P9,518.0,12.0,111dd7d,af4da39b04d85375,a6b4e53845707450,482106b023bc5245,518.0,44.0,ok,ok,0.233,0.076,0.14078892152748637,0.048,0.10805707091900965,0.105,0.13428451531682753
P9,519.0,12.0,111dd7d,75ce77a9e3170c58,4c7c8d65931ba684,50be6236fcd18c65,519.0,44.0,ok,ok,0.119,0.129,0.17600589846218664,0.076,0.12808089319570254,0.08,0.12860754160522436
