stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout,achieved_density
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,structured,ok,1.0,5.1095156963863175,4000.0,1000.0,0.011,0.017,0.006000000000000002,0.13766069546891463,0.08584955286691215,0.584,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,structured,ok,2.0,5.1095156963863175,4000.0,1000.0,0.019,0.03,0.011,0.13492096944151738,0.09763282482903735,0.528,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,structured,ok,3.0,5.1095156963863175,4000.0,1000.0,0.0175,0.034,0.0165,0.1408640674394099,0.1020515518148343,0.525,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,column_shuffled,ok,1.0,2.6427584745506225,4000.0,1000.0,0.21375,0.262,0.048250000000000015,0.2893572181243414,nan,nan,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,column_shuffled,ok,2.0,2.6427584745506225,4000.0,1000.0,0.08725,0.165,0.07775000000000001,0.17833508956796626,nan,nan,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,column_shuffled,ok,3.0,2.6427584745506225,4000.0,1000.0,0.049,0.099,0.05,0.14128556375131718,nan,nan,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,relabel_symmetry,ok,1.0,5.106651552314478,4000.0,1000.0,0.00875,0.019,0.010249999999999999,0.13230769230769232,0.09226722777485534,nan,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,relabel_symmetry,ok,2.0,5.106651552314478,4000.0,1000.0,0.018,0.041,0.023000000000000003,0.13804004214963123,0.10583903208837454,nan,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,relabel_symmetry,ok,3.0,5.106651552314478,4000.0,1000.0,0.01725,0.063,0.04575,0.1423814541622761,0.11057338243029984,nan,
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,random_order,ok,1.0,1.2731273922399087,4000.0,1000.0,0.1605,0.22,0.0595,0.10971720178609398,nan,nan,0.5840761284506628
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,random_order,ok,2.0,1.2731273922399087,4000.0,1000.0,0.07425,0.172,0.09774999999999999,0.12022113544546034,nan,nan,0.5840761284506628
A,0.0,9162e8e,14798cf5d53e561b,95321275814df5fa,d92ffa02d2d69500,0.0,40.0,random_order,ok,3.0,1.2731273922399087,4000.0,1000.0,0.04875,0.194,0.14525,0.20880289177120986,nan,nan,0.5840761284506628
A,1.0,9162e8e,b367f52a0313d191,fa7637cf293e20db,6c43976b94901ea8,1.0,40.0,structured,ok,1.0,5.526552407408822,4000.0,1000.0,0.01375,0.03,0.01625,0.1282804954860382,0.09977897063467003,0.43,
A,1.0,9162e8e,b367f52a0313d191,fa7637cf293e20db,6c43976b94901ea8,1.0,40.0,structured,ok,2.0,5.526552407408822,4000.0,1000.0,0.02075,0.043,0.022249999999999995,0.14306109594793198,0.10409430586254079,0.533,
A,1.0,9162e8e,b367f52a0313d191,fa7637cf293e20db,6c43976b94901ea8,1.0,40.0,structured,ok,3.0,5.526552407408822,4000.0,1000.0,0.019,0.063,0.044,0.1499475120722234,0.1173560677823387,0.532,
A,1.0,9162e8e,b367f52a0313d191,fa7637cf293e20db,6c43976b94901ea8,1.0,40.0,column_shuffled,ok,1.0,2.685739604340781,4000.0,1000.0,0.25,0.243,-0.007000000000000006,0.3471761494856183,nan,nan,
A,1.0,9162e8e,b367f52a0313d191,fa7637cf293e20db,6c43976b94901ea8,1.0,40.0,column_shuffled,ok,2.0,2.685739604340781,4000.0,1000.0,0.13075,0.147,0.016249999999999987,0.2732311568339282,nan,nan,
A,1.0,9162e8e,b367f52a0313d191,fa7637cf293e20db,6c43976b94901ea8,1.0,40.0,column_shuffled,ok,3.0,2.685739604340781,4000.0,1000.0,0.051,0.092,0.041,0.17749317656938904,nan,nan,
