stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout
B,100.0,b77f588,8fcfa344fbe2663d,a8448666ec8ab888,c884d380bc92a543,100.0,40.0,structured,ok,1.0,5.194128812530435,4000.0,1000.0,0.013,0.02,0.007000000000000001,0.12279365079365079,0.08003796267004112,0.491
B,100.0,b77f588,8fcfa344fbe2663d,a8448666ec8ab888,c884d380bc92a543,100.0,40.0,structured,ok,2.0,5.194128812530435,4000.0,1000.0,0.0155,0.021,0.005500000000000001,0.13731216931216933,0.08541600759253401,0.454
B,100.0,b77f588,8fcfa344fbe2663d,a8448666ec8ab888,c884d380bc92a543,100.0,40.0,structured,ok,3.0,5.194128812530435,4000.0,1000.0,0.01575,0.04,0.02425,0.13595767195767197,0.10840451333966045,0.477
B,100.0,b77f588,8fcfa344fbe2663d,a8448666ec8ab888,c884d380bc92a543,100.0,40.0,column_shuffled,ok,1.0,2.6402112705688663,4000.0,1000.0,0.23275,0.255,0.022249999999999992,0.260021164021164,nan,nan
B,100.0,b77f588,8fcfa344fbe2663d,a8448666ec8ab888,c884d380bc92a543,100.0,40.0,column_shuffled,ok,2.0,2.6402112705688663,4000.0,1000.0,0.103,0.119,0.016,0.2191746031746032,nan,nan
B,100.0,b77f588,8fcfa344fbe2663d,a8448666ec8ab888,c884d380bc92a543,100.0,40.0,column_shuffled,ok,3.0,2.6402112705688663,4000.0,1000.0,0.04575,0.111,0.06525,0.15834920634920635,nan,nan
B,101.0,b77f588,e36fdaef71135095,a97297ae72c9a6d8,c1a18c95d55d8ddc,101.0,40.0,structured,ok,1.0,5.535439506019658,4000.0,1000.0,0.01475,0.01,-0.004749999999999999,0.11794656006732589,0.09793436091013946,0.493
B,101.0,b77f588,e36fdaef71135095,a97297ae72c9a6d8,c1a18c95d55d8ddc,101.0,40.0,structured,ok,2.0,5.535439506019658,4000.0,1000.0,0.017,0.035,0.018000000000000002,0.14092152324847465,0.11093635315088603,0.515
B,101.0,b77f588,e36fdaef71135095,a97297ae72c9a6d8,c1a18c95d55d8ddc,101.0,40.0,structured,ok,3.0,5.535439506019658,4000.0,1000.0,0.01875,0.069,0.05025,0.13604039553965916,0.10642759777707875,0.527
B,101.0,b77f588,e36fdaef71135095,a97297ae72c9a6d8,c1a18c95d55d8ddc,101.0,40.0,column_shuffled,ok,1.0,2.633138911239426,4000.0,1000.0,0.25475,0.255,0.000250000000000028,0.24502419524510835,nan,nan
B,101.0,b77f588,e36fdaef71135095,a97297ae72c9a6d8,c1a18c95d55d8ddc,101.0,40.0,column_shuffled,ok,2.0,2.633138911239426,4000.0,1000.0,0.134,0.155,0.02099999999999999,0.2060172522617294,nan,nan
B,101.0,b77f588,e36fdaef71135095,a97297ae72c9a6d8,c1a18c95d55d8ddc,101.0,40.0,column_shuffled,ok,3.0,2.633138911239426,4000.0,1000.0,0.05275,0.058,0.005250000000000005,0.15994108983799704,nan,nan
B,102.0,b77f588,dc59c6a405c5d3a0,bb0461a1531f240d,2b909e1e4eb028c7,102.0,40.0,structured,ok,1.0,5.775767736162904,4000.0,1000.0,0.01275,0.02,0.007250000000000001,0.12855641941584367,0.09523809523809523,0.466
B,102.0,b77f588,dc59c6a405c5d3a0,bb0461a1531f240d,2b909e1e4eb028c7,102.0,40.0,structured,ok,2.0,5.775767736162904,4000.0,1000.0,0.01675,0.039,0.02225,0.13595293128808572,0.10429835651074588,0.468
B,102.0,b77f588,dc59c6a405c5d3a0,bb0461a1531f240d,2b909e1e4eb028c7,102.0,40.0,structured,ok,3.0,5.775767736162904,4000.0,1000.0,0.01775,0.084,0.06625,0.14856062197940742,0.1213653603034134,0.575
B,102.0,b77f588,dc59c6a405c5d3a0,bb0461a1531f240d,2b909e1e4eb028c7,102.0,40.0,column_shuffled,ok,1.0,2.8786360012148835,4000.0,1000.0,0.256,0.288,0.03199999999999997,0.32439588148770754,nan,nan
B,102.0,b77f588,dc59c6a405c5d3a0,bb0461a1531f240d,2b909e1e4eb028c7,102.0,40.0,column_shuffled,ok,2.0,2.8786360012148835,4000.0,1000.0,0.102,0.155,0.053000000000000005,0.10981298592141206,nan,nan
B,102.0,b77f588,dc59c6a405c5d3a0,bb0461a1531f240d,2b909e1e4eb028c7,102.0,40.0,column_shuffled,ok,3.0,2.8786360012148835,4000.0,1000.0,0.0515,0.089,0.0375,0.13670939272956503,nan,nan
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,structured,ok,1.0,5.8690616366730035,4000.0,1000.0,0.0095,0.013,0.0034999999999999996,0.12527196652719663,0.09523307319130984,0.482
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,structured,ok,2.0,5.8690616366730035,4000.0,1000.0,0.01675,0.034,0.01725,0.14301255230125523,0.11822400337481544,0.502
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,structured,ok,3.0,5.8690616366730035,4000.0,1000.0,0.01925,0.052,0.03275,0.14589958158995817,0.1108415946002953,0.481
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,column_shuffled,ok,1.0,3.0436174543463643,4000.0,1000.0,0.1545,0.213,0.058499999999999996,0.19539748953974895,nan,nan
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,column_shuffled,ok,2.0,3.0436174543463643,4000.0,1000.0,0.06975,0.104,0.03424999999999999,0.16343096234309623,nan,nan
B,103.0,b77f588,c010c3876fedf30c,947de8ec731d02fb,da469a01dab353c5,103.0,40.0,column_shuffled,ok,3.0,3.0436174543463643,4000.0,1000.0,0.04475,0.087,0.042249999999999996,0.14347280334728035,nan,nan
