stage,seed,code_version,config_hash,events_digest,causal_digest,scene_seed,target_count,condition,status,embedding_dim,margin,train_constraint_count,heldout_constraint_count,train_violation,heldout_violation,generalization_gap,restart_order_disagreement,truth_distance_order_error,flip_control_heldout,achieved_density
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,column_shuffled,ok,1.0,2.7533625801375656,4000.0,1000.0,0.23975,0.309,0.06925,0.22945769149609624,nan,nan,
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,column_shuffled,ok,2.0,2.7533625801375656,4000.0,1000.0,0.11525,0.186,0.07075,0.19430259548427936,nan,nan,
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,column_shuffled,ok,3.0,2.7533625801375656,4000.0,1000.0,0.036,0.049,0.013000000000000005,0.13057607090103396,nan,nan,
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,column_shuffled_repeat,ok,1.0,2.672666905441955,4000.0,1000.0,0.2155,0.234,0.018500000000000016,0.2317788562987972,nan,nan,
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,column_shuffled_repeat,ok,2.0,2.672666905441955,4000.0,1000.0,0.10925,0.157,0.04775,0.16286136315678412,nan,nan,
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,column_shuffled_repeat,ok,3.0,2.672666905441955,4000.0,1000.0,0.04125,0.09,0.048749999999999995,0.15366110993880566,nan,nan,
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,random_order,ok,1.0,1.269881742896818,4000.0,1000.0,0.20975,0.277,0.06725000000000003,0.04450095359186268,nan,nan,0.575745784695201
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,random_order,ok,2.0,1.269881742896818,4000.0,1000.0,0.10425,0.171,0.06675000000000002,0.18906547997457088,nan,nan,0.575745784695201
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,random_order,ok,3.0,1.269881742896818,4000.0,1000.0,0.0615,0.117,0.05550000000000001,0.17075651621106167,nan,nan,0.575745784695201
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,random_order_shuffled,ok,1.0,2.324422380980181,4000.0,1000.0,0.16825,0.199,0.03075,0.2937062937062937,nan,nan,0.575745784695201
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,random_order_shuffled,ok,2.0,2.324422380980181,4000.0,1000.0,0.08225,0.121,0.03874999999999999,0.1746556473829201,nan,nan,0.575745784695201
C,200.0,b77f588,60932abc1854432c,da6de0e5678e7071,b7f15089ff73ffb1,200.0,38.0,random_order_shuffled,ok,3.0,2.324422380980181,4000.0,1000.0,0.04825,0.139,0.09075000000000001,0.18690400508582325,nan,nan,0.575745784695201
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,column_shuffled,ok,1.0,2.7085064877035734,4000.0,1000.0,0.2275,0.26,0.0325,0.3262579281183932,nan,nan,
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,column_shuffled,ok,2.0,2.7085064877035734,4000.0,1000.0,0.10375,0.177,0.07325,0.22367864693446088,nan,nan,
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,column_shuffled,ok,3.0,2.7085064877035734,4000.0,1000.0,0.0505,0.109,0.058499999999999996,0.1547568710359408,nan,nan,
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,column_shuffled_repeat,ok,1.0,2.916849779500878,4000.0,1000.0,0.20375,0.272,0.06825000000000003,0.3563636363636363,nan,nan,
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,column_shuffled_repeat,ok,2.0,2.916849779500878,4000.0,1000.0,0.079,0.129,0.05,0.14405919661733615,nan,nan,
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,column_shuffled_repeat,ok,3.0,2.916849779500878,4000.0,1000.0,0.05525,0.125,0.06975,0.14084566596194503,nan,nan,
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,random_order,ok,1.0,1.5396747627803187,4000.0,1000.0,0.1875,0.147,-0.04050000000000001,0.23765761914939088,nan,nan,0.5491091057942619
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,random_order,ok,2.0,1.5396747627803187,4000.0,1000.0,0.0605,0.065,0.004500000000000004,0.1337037828595854,nan,nan,0.5491091057942619
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,random_order,ok,3.0,1.5396747627803187,4000.0,1000.0,0.03025,0.073,0.042749999999999996,0.1484505236161573,nan,nan,0.5491091057942619
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,random_order_shuffled,ok,1.0,2.2195697334314772,4000.0,1000.0,0.18425,0.221,0.036750000000000005,0.2964736054712545,nan,nan,0.5491091057942619
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,random_order_shuffled,ok,2.0,2.2195697334314772,4000.0,1000.0,0.093,0.192,0.099,0.22051720453088267,nan,nan,0.5491091057942619
C,201.0,b77f588,b89de12160795fca,8b99e91c56726f05,6aa54535bf67898c,201.0,40.0,random_order_shuffled,ok,3.0,2.2195697334314772,4000.0,1000.0,0.06925,0.179,0.10974999999999999,0.18734772387262236,nan,nan,0.5491091057942619
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,column_shuffled,ok,1.0,2.803173501911936,4000.0,1000.0,0.2465,0.236,-0.01050000000000001,0.21673710904480137,nan,nan,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,column_shuffled,ok,2.0,2.803173501911936,4000.0,1000.0,0.085,0.108,0.022999999999999993,0.11961115807269654,nan,nan,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,column_shuffled,ok,3.0,2.803173501911936,4000.0,1000.0,0.05425,0.102,0.047749999999999994,0.14399830938292477,nan,nan,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,column_shuffled_repeat,ok,1.0,2.7979665840420065,4000.0,1000.0,0.2065,0.212,0.005500000000000005,0.17016060862214707,nan,nan,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,column_shuffled_repeat,ok,2.0,2.7979665840420065,4000.0,1000.0,0.06975,0.093,0.023249999999999993,0.19881656804733727,nan,nan,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,column_shuffled_repeat,ok,3.0,2.7979665840420065,4000.0,1000.0,0.053,0.09,0.037,0.15333896872358407,nan,nan,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,random_order,analysis_invalid: random-order control: only 28 eligible targets,,,,,,,,,,,
C,202.0,b77f588,14bef1c549ef38b8,c1322ce96cb3b277,be9813a3b22ad8ca,202.0,39.0,random_order_shuffled,analysis_invalid: random-order control: only 28 eligible targets,,,,,,,,,,,
